access_pattern,block_size,cache_size,category,channels,chip_Avg_Fraction_DataXfer,chip_Avg_Fraction_Exec,chip_Avg_Fraction_Idle,chip_Avg_Fraction_Overlap,chips_per_channel,energy_Energy_per_IO_Index,energy_Total_Chip_Power_Index,exp_name,ftl_Average_Page_Movement_For_GC,ftl_CMT_Hit_Rate,ftl_CMT_Hits,ftl_CMT_Read_Hit_Rate,ftl_CMT_Read_Hits,ftl_CMT_Write_Hit_Rate,ftl_CMT_Write_Hits,ftl_Mapping_Erase_CMD,ftl_Mapping_Program_CMD,ftl_Mapping_Read_CMD,ftl_Total_CMT_Queries,ftl_Total_CMT_Read_Queries,ftl_Total_CMT_Write_Queries,ftl_Total_Flash_Erase_CMD,ftl_Total_Flash_Program_CMD,ftl_Total_Flash_Read_CMD,ftl_Total_GC_Executions,host_BW_Bytes_per_s,host_BW_MiB_per_s,host_Device_Response_Time,host_E2E_Latency_ms_assuming_us,host_End_to_End_Request_Delay,host_IOPS,host_Read_BW_Bytes_per_s,host_Read_IOPS,host_Read_Request_Count,host_Request_Count,host_Write_BW_Bytes_per_s,host_Write_IOPS,host_Write_Request_Count,io_queue_depth,tpcc_variant,tsu_GC_Avg_Queue_Length,tsu_GC_Avg_Waiting_Time,tsu_GC_Transactions_Dequeued,tsu_GC_Transactions_Enqueued,tsu_Mapping_Avg_Queue_Length,tsu_Mapping_Avg_Waiting_Time,tsu_Mapping_Transactions_Dequeued,tsu_Mapping_Transactions_Enqueued,tsu_User_Avg_Queue_Length,tsu_User_Avg_Waiting_Time,tsu_User_Transactions_Dequeued,tsu_User_Transactions_Enqueued
seqread,128kb,0MB,cache,,0.18193581250000002,0.2823803125,0.8180641874999998,0.0,,1.4843576184853552e-05,21.547143000000005,wl_cache0MB_128kb_seqread_scenario_1,nan,0.0,0,,,,,0,16937,376124,23225824,,,0,0,12048298,0,1902140509.071885,1814.0225496977664,35275.0,35.275,35275.0,14512.180398,,,1451614,1451614,,,0,,,0.0,,,,130.36331409375003,105.53702860370274,376124.0,393061.0,5.560588742187502,6130.25,23225824.0,23225824.0
randread,4kb,0MB,cache,,0.094831875,0.64556709375,0.905168125,0.0,,1.3474603525830032e-06,31.775457000000003,wl_cache0MB_4kb_randread_scenario_1,nan,0.00437732791365929,103225,,,,,0,4026607,4279385,23581738,,,0,0,27538816,0,965839296.105874,921.096130472063,2171.0,2.171,2171.0,235800.609401,,,23581738,23581738,,,0,,,0.0,,,,32238.718914343754,33.47297782131261,4279385.0,8305992.0,1.9035643281249999,2066.119950785646,23581738.0,23581738.0
seqread,128kb,128MB,cache,,0.18193581250000002,0.2823803125,0.8180641874999998,0.0,,1.4843576184853552e-05,21.547143000000005,wl_cache128MB_128kb_seqread_scenario_1,nan,0.0,0,,,,,0,16937,376124,23225824,,,0,0,12048298,0,1902140509.071885,1814.0225496977664,35275.0,35.275,35275.0,14512.180398,,,1451614,1451614,,,0,,,0.0,,,,130.36331409375003,105.53702860370274,376124.0,393061.0,5.560588742187502,6130.25,23225824.0,23225824.0
seqwrite,128kb,128MB,cache,,0.046985500000000006,0.9520294999999999,0.9530145,0.0,,0.00010896515343646968,40.816711999999995,wl_cache128MB_128kb_seqwrite_scenario_1,nan,0.0,0,,,,,0,4280,126652,5993360,,,0,4054981,126644,0,490293289.602365,467.580117800107,136778.0,136.778,136778.0,3740.640942,,,0,374585,,,374585,,,0.0,,,,31.32338709375,691.1105688448965,126652.0,130932.0,0.20789000000000002,888.687497330379,5993360.0,5993360.0
mixed,4kb,128MB,cache,,0.03991009375000001,0.9090649375000001,0.9600899062500001,0.0,,3.943124353881233e-06,39.32863949999999,wl_cache128MB_4kb_mixed_scenario_1,nan,0.004248822534501755,42374,,,,,0,1800637,2053401,9973116,,,0,2974066,9056293,0,408401506.502094,389.48202753266713,5133.0,5.133,5133.0,99707.399048,,,6982150,9973979,,,2991829,,,0.0,,,,13864.061965624996,157.68997736919044,2053401.0,3854038.0,1.0169045546875002,2602.519485726521,10003938.0,10003938.0
randread,4kb,128MB,cache,,0.094831875,0.64556709375,0.905168125,0.0,,1.3474603525830032e-06,31.775457000000003,wl_cache128MB_4kb_randread_scenario_1,nan,0.00437732791365929,103225,,,,,0,4026607,4279385,23581738,,,0,0,27538816,0,965839296.105874,921.096130472063,2171.0,2.171,2171.0,235800.609401,,,23581738,23581738,,,0,,,0.0,,,,32238.718914343754,33.47297782131261,4279385.0,8305992.0,1.9035643281249999,2066.119950785646,23581738.0,23581738.0
randwrite,4kb,128MB,cache,,0.015578343749999996,0.9251826562500002,0.98442165625,0.0,,1.0191321138563136e-05,39.455098500000005,wl_cache128MB_4kb_randwrite_scenario_1,nan,0.003916804974481853,15158,,,,,0,696673,949515,3869991,,,0,3851965,968748,0,158517218.642192,151.17380012721253,13225.0,13.225,13225.0,38700.492833,,,0,3871441,,,3871441,,,0.0,,,,5166.305279734375,200.96035385994796,949515.0,1646188.0,0.8805976562499999,5797.636456848553,3889464.0,3889464.0
seqread,128kb,1GB,cache,,0.18193581250000002,0.2823803125,0.8180641874999998,0.0,,1.4843576184853552e-05,21.547143000000005,wl_cache1GB_128kb_seqread_scenario_1,nan,0.0,0,,,,,0,16937,376124,23225824,,,0,0,12048298,0,1902140509.071885,1814.0225496977664,35275.0,35.275,35275.0,14512.180398,,,1451614,1451614,,,0,,,0.0,,,,130.36331409375003,105.53702860370274,376124.0,393061.0,5.560588742187502,6130.25,23225824.0,23225824.0
seqwrite,128kb,1GB,cache,,0.046985500000000006,0.9520294999999999,0.9530145,0.0,,0.00010896515343646968,40.816711999999995,wl_cache1GB_128kb_seqwrite_scenario_1,nan,0.0,0,,,,,0,4280,126652,5993360,,,0,4054981,126644,0,490293289.602365,467.580117800107,136778.0,136.778,136778.0,3740.640942,,,0,374585,,,374585,,,0.0,,,,31.32338709375,691.1105688448965,126652.0,130932.0,0.20789000000000002,888.687497330379,5993360.0,5993360.0
mixed,4kb,1GB,cache,,0.03991009375000001,0.9090649375000001,0.9600899062500001,0.0,,3.943124353881233e-06,39.32863949999999,wl_cache1GB_4kb_mixed_scenario_1,nan,0.004248822534501755,42374,,,,,0,1800637,2053401,9973116,,,0,2974066,9056293,0,408401506.502094,389.48202753266713,5133.0,5.133,5133.0,99707.399048,,,6982150,9973979,,,2991829,,,0.0,,,,13864.061965624996,157.68997736919044,2053401.0,3854038.0,1.0169045546875002,2602.519485726521,10003938.0,10003938.0
randread,4kb,1GB,cache,,0.094831875,0.64556709375,0.905168125,0.0,,1.3474603525830032e-06,31.775457000000003,wl_cache1GB_4kb_randread_scenario_1,nan,0.00437732791365929,103225,,,,,0,4026607,4279385,23581738,,,0,0,27538816,0,965839296.105874,921.096130472063,2171.0,2.171,2171.0,235800.609401,,,23581738,23581738,,,0,,,0.0,,,,32238.718914343754,33.47297782131261,4279385.0,8305992.0,1.9035643281249999,2066.119950785646,23581738.0,23581738.0
randwrite,4kb,1GB,cache,,0.015578343749999996,0.9251826562500002,0.98442165625,0.0,,1.0191321138563136e-05,39.455098500000005,wl_cache1GB_4kb_randwrite_scenario_1,nan,0.003916804974481853,15158,,,,,0,696673,949515,3869991,,,0,3851965,968748,0,158517218.642192,151.17380012721253,13225.0,13.225,13225.0,38700.492833,,,0,3871441,,,3871441,,,0.0,,,,5166.305279734375,200.96035385994796,949515.0,1646188.0,0.8805976562499999,5797.636456848553,3889464.0,3889464.0
seqread,128kb,256MB,cache,,0.18193581250000002,0.2823803125,0.8180641874999998,0.0,,1.4843576184853552e-05,21.547143000000005,wl_cache256MB_128kb_seqread_scenario_1,nan,0.0,0,,,,,0,16937,376124,23225824,,,0,0,12048298,0,1902140509.071885,1814.0225496977664,35275.0,35.275,35275.0,14512.180398,,,1451614,1451614,,,0,,,0.0,,,,130.36331409375003,105.53702860370274,376124.0,393061.0,5.560588742187502,6130.25,23225824.0,23225824.0
seqwrite,128kb,256MB,cache,,0.046985500000000006,0.9520294999999999,0.9530145,0.0,,0.00010896515343646968,40.816711999999995,wl_cache256MB_128kb_seqwrite_scenario_1,nan,0.0,0,,,,,0,4280,126652,5993360,,,0,4054981,126644,0,490293289.602365,467.580117800107,136778.0,136.778,136778.0,3740.640942,,,0,374585,,,374585,,,0.0,,,,31.32338709375,691.1105688448965,126652.0,130932.0,0.20789000000000002,888.687497330379,5993360.0,5993360.0
mixed,4kb,256MB,cache,,0.03991009375000001,0.9090649375000001,0.9600899062500001,0.0,,3.943124353881233e-06,39.32863949999999,wl_cache256MB_4kb_mixed_scenario_1,nan,0.004248822534501755,42374,,,,,0,1800637,2053401,9973116,,,0,2974066,9056293,0,408401506.502094,389.48202753266713,5133.0,5.133,5133.0,99707.399048,,,6982150,9973979,,,2991829,,,0.0,,,,13864.061965624996,157.68997736919044,2053401.0,3854038.0,1.0169045546875002,2602.519485726521,10003938.0,10003938.0
randread,4kb,256MB,cache,,0.094831875,0.64556709375,0.905168125,0.0,,1.3474603525830032e-06,31.775457000000003,wl_cache256MB_4kb_randread_scenario_1,nan,0.00437732791365929,103225,,,,,0,4026607,4279385,23581738,,,0,0,27538816,0,965839296.105874,921.096130472063,2171.0,2.171,2171.0,235800.609401,,,23581738,23581738,,,0,,,0.0,,,,32238.718914343754,33.47297782131261,4279385.0,8305992.0,1.9035643281249999,2066.119950785646,23581738.0,23581738.0
randwrite,4kb,256MB,cache,,0.015578343749999996,0.9251826562500002,0.98442165625,0.0,,1.0191321138563136e-05,39.455098500000005,wl_cache256MB_4kb_randwrite_scenario_1,nan,0.003916804974481853,15158,,,,,0,696673,949515,3869991,,,0,3851965,968748,0,158517218.642192,151.17380012721253,13225.0,13.225,13225.0,38700.492833,,,0,3871441,,,3871441,,,0.0,,,,5166.305279734375,200.96035385994796,949515.0,1646188.0,0.8805976562499999,5797.636456848553,3889464.0,3889464.0
seqread,128kb,,ch_chip,16,0.28380653125,0.43849493749999996,0.7161934687499998,0.0,2,1.2439538117269098e-05,28.172742500000005,wl_ch16_chip2_128kb_seqread_scenario_1,nan,0.0,0,,,,,0,26514,499186,36236384,,,0,0,18708942,0,2967721447.94952,2830.239723157425,22609.0,22.609,22609.0,22641.917785,,,2264774,2264774,,,0,,,0.0,,,,205.62058978124995,79.78810918774967,499186.0,525700.0,5.915746253906251,4179.812591565427,36236384.0,36236384.0
seqwrite,128kb,,ch_chip,16,0.046973156249999995,0.9524579375000001,0.9530268437499996,0.0,2,0.00010902363767930189,40.83022449999999,wl_ch16_chip2_128kb_seqwrite_scenario_1,nan,0.0,0,,,,,0,4279,124688,5992128,,,0,4057110,124681,0,490180214.915802,467.4722813756962,136807.0,136.807,136807.0,3739.778251,,,0,374508,,,374508,,,0.0,,,,31.292834906249997,691.063016120403,124688.0,128967.0,0.20839505078124998,891.03125,5992128.0,5992128.0
mixed,4kb,,ch_chip,16,0.0401311875,0.91406315625,0.9598688125,0.0,2,3.937934935724567e-06,39.49212000000001,wl_ch16_chip2_4kb_mixed_scenario_1,nan,0.0042464200062606325,42582,,,,,0,1810536,2063284,10027741,,,0,2990453,9104470,0,410652950.700741,391.62917203973865,5105.0,5.105,5105.0,100257.068042,,,7020318,10028637,,,3008319,,,0.0,,,,13943.771703453125,158.13908415982158,2063284.0,3873820.0,1.0168847343749998,2588.224483528741,10058885.0,10058885.0
randread,4kb,,ch_chip,16,0.11811631249999997,0.7976126875000001,0.8818836875,0.0,2,1.2636335973787712e-06,37.013467000000006,wl_ch16_chip2_4kb_randread_scenario_1,nan,0.004381335520922819,128335,,,,,0,4899706,5152470,29291297,,,0,0,34023964,0,1199716300.391116,1144.1386226569327,1747.0,1.747,1747.0,292899.4874,,,29291297,29291297,,,0,,,0.0,,,,39430.69224543751,27.64686481812495,5152470.0,10052176.0,1.8924635585937495,1653.5275158010245,29291297.0,29291297.0
randwrite,4kb,,ch_chip,16,0.015580843750000002,0.9253140624999998,0.9844191562500001,0.0,2,1.0190538214508457e-05,39.459343499999996,wl_ch16_chip2_4kb_randwrite_scenario_1,nan,0.0039163428452144225,15159,,,,,0,696804,949659,3870703,,,0,3852582,968876,0,158543691.792436,151.1990468906746,13223.0,13.223,13223.0,38706.956004,,,0,3872155,,,3872155,,,0.0,,,,5167.297666171875,200.75952572271592,949659.0,1646463.0,0.8805604726562499,5796.319858443349,3890174.0,3890174.0
seqread,128kb,,ch_chip,16,0.15620495312499996,0.3759714531250001,0.8437950468750002,0.0,4,1.9278698200269326e-05,48.26073150000001,wl_ch16_chip4_128kb_seqread_scenario_1,nan,0.0,0,,,,,0,29241,517125,40053104,,,0,0,32080908,0,3280479629.282977,3128.5091679410716,20454.0,20.454,20454.0,25028.073344,,,2503319,2503319,,,0,,,0.0,,,,113.16917130468748,75.88093146352445,517125.0,546366.0,0.2227578359374999,284.29687359561444,40053104.0,40053104.0
seqwrite,128kb,,ch_chip,16,0.04672003125000005,0.9523586718750001,0.9532799687499997,0.0,4,0.00010958855766868942,81.645996,wl_ch16_chip4_128kb_seqwrite_scenario_1,nan,0.0,0,,,,,0,8721,136032,11920368,,,0,8119005,136011,0,975818196.929642,930.6127518936557,68746.0,68.746,68746.0,7444.902015,,,0,745023,,,745023,,,0.0,,,,33.370745281249995,657.1618964719212,136032.0,144753.0,0.2101115996093751,902.5624771819125,11920368.0,11920368.0
mixed,4kb,,ch_chip,16,0.03891531249999999,0.9095377968749999,0.9610846874999995,0.0,4,4.049681532269732e-06,78.65570899999999,wl_ch16_chip4_4kb_mixed_scenario_1,nan,0.002094796236359212,40683,,,,,0,5771118,6050833,19420982,,,0,5792785,19707396,0,795280761.769285,758.4388368313646,2636.0,2.636,2636.0,194160.342229,,,13595286,19422690,,,5827404,,,0.0,,,,22542.195456140627,151.4538194245603,6050833.0,11821951.0,1.0199763046875003,2677.7037463031675,19505549.0,19505549.0
randread,4kb,,ch_chip,16,0.090957046875,0.6770307968750001,0.9090429531249999,0.0,4,1.4446601100505726e-06,65.4405965,wl_ch16_chip4_4kb_randread_scenario_1,nan,0.0021884281881436297,99132,,,,,0,12532819,12812607,45298265,,,0,0,57759941,0,1855351263.314359,1769.4008477347936,1130.0,1.13,1130.0,452966.61702,,,45298265,45298265,,,0,,,0.0,,,,50663.254326265625,30.623449414501852,12812607.0,25345426.0,0.9108709707031247,1029.1018215598324,45298265.0,45298265.0
randwrite,4kb,,ch_chip,16,0.0154335,0.9253237499999999,0.9845664999999999,0.0,4,1.0286398056660407e-05,78.91459200000003,wl_ch16_chip4_4kb_randwrite_scenario_1,nan,0.001815500406834825,13923,,,,,0,2324503,2604365,7668960,,,0,7633615,2651679,0,314124849.24868,299.57280087345123,6674.0,6.674,6674.0,76690.637024,,,0,7671742,,,7671742,,,0.0,,,,8877.361303710935,186.5054302529506,2604365.0,4928868.0,0.8835222910156253,5863.543815160405,7716918.0,7716918.0
