SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1059	614	614
2149	1618	1618
3239	2709	2709
4330	3799	3799
5420	4889	4889
6510	5979	5979
7600	7070	7070
8691	8160	8160
9781	9250	9250
10871	10341	10341
11962	11431	11431
13052	12521	12521
14142	13611	13611
15232	14702	14702
16323	15792	15792
17413	16882	16882
18503	17972	17972
19593	19063	19063
20684	20153	20153
21774	21243	21243
22864	22333	22333
23955	23424	23424
25045	24514	24514
26135	25604	25604
27225	26695	26695
28316	27785	27785
29406	28875	28875
30496	29965	29965
31586	31056	31056
32677	32146	32146
33767	33236	33236
34857	34326	34326
35948	34896	34906
37038	34888	34888
38128	34888	34888
39218	34888	34888
40309	34888	34888
41399	34888	34888
42489	34888	34888
43579	34888	34888
44670	34888	34888
45760	34888	34888
46850	34888	34888
47941	34888	34888
49031	34888	34888
50121	34888	34888
51211	34888	34888
52302	34888	34888
53392	34888	34888
54482	34888	34888
55572	34888	34888
56663	34888	34888
57753	34888	34888
58843	34888	34888
59933	34888	34888
61024	34888	34888
62114	34888	34888
63204	34888	34888
64295	34888	34888
65385	34888	34888
66475	34888	34888
67565	34888	34888
68656	34888	34888
69746	34888	34888
70836	34888	34888
71926	34888	34888
73017	34888	34888
74107	34888	34888
75197	34888	34888
76288	34888	34888
77378	34888	34888
78468	34888	34888
79558	34888	34888
80649	34888	34888
81739	34888	34888
82829	34888	34888
83919	34888	34888
85010	34888	34888
86100	34888	34888
87190	34888	34888
88281	34888	34888
89371	34888	34888
90461	34888	34888
91551	34888	34888
92642	34888	34888
93732	34888	34888
94822	34888	34888
95912	34888	34888
97003	34888	34888
98093	34888	34888
99183	34888	34888
100274	34888	34888
101364	34888	34888
102454	34888	34888
103544	34888	34888
104635	34888	34888
105725	34888	34888
106815	34888	34888
107905	34888	34888
108996	34888	34888
110086	34888	34888
111176	34888	34888
112267	34888	34888
113357	34888	34888
114447	34888	34888
115537	34888	34888
116628	34888	34888
117718	34888	34888
118808	34888	34888
119898	34888	34888
120989	34888	34888
122079	34888	34888
123169	34888	34888
124260	34888	34888
125350	34888	34888
126440	34888	34888
127530	34888	34888
128621	34888	34888
129711	34888	34888
130801	34888	34888
131891	34888	34888
132982	34888	34888
134072	34888	34888
135162	34888	34888
136253	34888	34888
137343	34888	34888
138433	34888	34888
139523	34888	34888
140614	34888	34888
141704	34888	34888
142794	34888	34888
143884	34888	34888
144975	34888	34888
146065	34888	34888
147155	34888	34888
148246	34888	34888
149336	34888	34888
150426	34888	34888
151516	34888	34888
152607	34888	34888
153697	34888	34888
154787	34888	34888
155877	34888	34888
156968	34888	34888
158058	34888	34888
159148	34888	34888
160239	34888	34888
161329	34888	34888
162419	34888	34888
163509	34888	34888
164600	34888	34888
165690	34888	34888
166780	34888	34888
167870	34888	34888
168961	34888	34888
170051	34888	34888
171141	34888	34888
172232	34888	34888
173322	34888	34888
174412	34888	34888
175502	34888	34888
176593	34888	34888
177683	34888	34888
178773	34888	34888
179863	34888	34888
180954	34888	34888
182044	34888	34888
183134	34888	34888
184225	34888	34888
185315	34888	34888
186405	34888	34888
187495	34888	34888
188586	34888	34888
189676	34888	34888
190766	34888	34888
191856	34888	34888
192947	34888	34888
194037	34888	34888
195127	34888	34888
196217	34888	34888
197308	34888	34888
198398	34888	34888
199488	34888	34888
200579	34888	34888
201669	34888	34888
202759	34888	34888
203849	34888	34888
204940	34888	34888
206030	34888	34888
207120	34888	34888
208210	34888	34888
