SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1714	505	505
3289	2337	2337
4337	3888	3888
5588	5122	5122
6655	6198	6198
7968	7451	7451
8974	8526	8526
10369	9719	9719
11375	10927	10927
12770	12120	12120
13776	13328	13328
15171	14521	14521
16177	15729	15729
17572	16922	16922
18578	18130	18130
19973	19323	19323
20979	20531	20531
22374	21724	21724
23380	22932	22932
24775	24125	24125
25781	25333	25333
27176	26526	26526
28182	27734	27734
29577	28927	28927
30583	30135	30135
31978	31328	31328
32984	32536	32536
34379	33729	33729
35385	34937	34937
36780	36130	36130
37786	37338	37338
39181	38531	38531
40187	39739	39739
41582	40932	40932
42588	42140	42140
43983	43333	43333
44989	44541	44541
46384	45734	45734
47390	46942	46942
48785	48135	48135
49791	49343	49343
51186	50536	50536
52192	51744	51744
53587	52937	52937
54593	54144	54144
55988	55338	55338
56994	56545	56545
58389	57739	57739
59395	58946	58946
60790	60140	60140
61796	61347	61347
63191	62541	62541
64197	63748	63748
65592	64942	64942
66598	66149	66149
67993	67343	67343
68998	68550	68550
70394	69744	69744
71399	70951	70951
72795	72145	72145
73800	73352	73352
75196	74546	74546
76201	75753	75753
77597	76947	76947
78602	78154	78154
79998	79348	79348
81003	80555	80555
82399	81749	81749
83404	82956	82956
84800	84150	84150
85805	85357	85357
87201	86551	86551
88206	87758	87758
89602	88952	88952
90607	90159	90159
92003	91353	91353
93008	92560	92560
94404	93754	93754
95409	94961	94961
96805	96155	96155
97810	97362	97362
99206	98556	98556
100211	99763	99763
101607	100957	100957
102612	102108	102125
104008	103075	103075
105013	103022	103022
106409	102634	102634
107414	102515	102515
108810	102443	102443
109815	102442	102442
111211	102442	102442
112216	102442	102442
113612	102442	102442
114617	102442	102442
116013	102442	102442
117018	102442	102442
118414	102442	102442
119419	102442	102442
120815	102442	102442
121820	102442	102442
123216	102442	102442
124221	102442	102442
125617	102442	102442
126622	102442	102442
128018	102442	102442
129023	102442	102442
130419	102442	102442
131424	102442	102442
132820	102442	102442
133825	102442	102442
135221	102442	102442
136226	102442	102442
137622	102442	102442
138627	102442	102442
140023	102442	102442
141028	102442	102442
142424	102442	102442
143429	102442	102442
144825	102442	102442
145830	102442	102442
147226	102442	102442
148231	102442	102442
149627	102442	102442
150632	102442	102442
152028	102442	102442
153033	102442	102442
154429	102442	102442
155434	102442	102442
156830	102442	102442
157835	102442	102442
159231	102442	102442
160236	102442	102442
161631	102442	102442
162637	102442	102442
