SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1026	532	532
2034	1248	1248
3041	1388	1388
4042	1432	1432
5043	1557	1557
6045	1566	1566
7047	1646	1646
8053	1695	1695
9060	1669	1669
10062	1728	1728
11063	1716	1716
12063	1721	1721
13063	1783	1783
14069	1853	1853
15070	1808	1808
16071	1786	1786
17074	1813	1813
18077	1792	1792
19077	1807	1807
20078	1838	1838
21079	1736	1736
22080	1801	1801
23088	1865	1865
24093	1831	1831
25094	1874	1874
26095	1895	1895
27102	1864	1864
28104	1677	1677
29106	1811	1811
30116	1806	1806
31119	1680	1680
32121	1734	1734
33129	1839	1839
34133	1886	1886
35140	1898	1898
36141	1967	1967
37147	1887	1887
38155	1758	1758
39162	1874	1874
40163	1958	1958
41168	1947	1947
42173	2007	2007
43173	1953	1953
44179	1988	1988
45186	1912	1912
46195	1961	1961
47196	1953	1953
48200	1972	1972
49208	1899	1899
50209	1928	1928
51211	1988	1988
52211	1978	1978
53215	1952	1952
54217	1862	1862
55219	1959	1959
56227	1967	1967
57231	1917	1917
58237	1899	1899
59242	1920	1920
60244	2011	2011
61247	1964	1964
62247	2031	2031
63255	1966	1966
64256	1913	1913
65263	1983	1983
66271	1957	1957
67279	1961	1961
68280	2006	2006
69284	1924	1924
70290	1929	1929
71291	1959	1959
72293	1890	1890
73294	1798	1798
74295	1860	1860
75295	1918	1918
76299	1835	1835
77301	1824	1824
78304	1849	1849
79304	1837	1837
80308	1894	1894
81311	1906	1906
82311	1943	1943
83320	1950	1950
84321	1888	1888
85322	1826	1826
86326	1849	1849
87327	1843	1843
88327	1974	1974
89332	1986	1986
90337	1957	1957
91340	1949	1949
92341	1935	1935
93346	2019	2019
94347	1875	1875
95350	1889	1889
96352	1883	1883
97358	1813	1813
98363	1796	1796
99364	1843	1843
100365	1944	1944
101365	1933	1933
102366	2009	2009
103369	2019	2019
104375	1983	1983
105376	1944	1944
106380	1945	1945
107381	1861	1861
108386	1878	1878
109387	1839	1839
110390	1899	1899
111392	1889	1889
112393	1886	1886
113396	1870	1870
114397	1976	1976
115399	1976	1976
116404	1990	1990
117415	1989	1989
118419	1926	1926
119421	1902	1902
120423	1930	1930
121423	1922	1922
122428	1953	1953
123429	1991	1991
124433	1925	1925
125434	1913	1913
126435	1942	1942
127435	2035	2035
128438	2016	2016
129447	2014	2014
130452	1948	1948
131453	1932	1932
132456	1978	1978
133458	1944	1944
134460	2013	2013
135463	1987	1987
136464	1929	1929
137467	1949	1949
138468	2002	2002
139470	1890	1890
140473	1870	1870
141474	1925	1925
142478	1937	1937
143479	1912	1912
144479	1949	1949
145480	1952	1952
146483	1990	1990
147484	1970	1970
148487	1980	1980
149489	2021	2021
150494	2029	2029
151495	1936	1936
152499	2084	2084
153501	1977	1977
154505	1958	1958
155507	1964	1964
156507	1963	1963
157508	1950	1950
158509	1973	1973
159509	2020	2020
160509	1945	1945
161513	2092	2092
162513	1955	1955
163516	2011	2011
164517	2056	2056
165520	1958	1958
166520	2049	2049
167527	2008	2008
168538	1966	1966
169538	1937	1937
170541	1929	1929
171544	1885	1885
172545	1933	1933
173548	1944	1944
174549	1869	1869
175551	2001	2001
176552	1934	1934
177556	1931	1931
178560	1894	1894
179561	1879	1879
180565	1878	1878
181566	1971	1971
182567	1963	1963
183569	1964	1964
184569	1960	1960
185573	1943	1943
186574	2019	2019
187578	2023	2023
188586	2048	2048
189594	2009	2009
190596	2049	2049
191599	2059	2059
192604	2041	2041
193616	2028	2028
194624	2003	2003
195625	2006	2006
196626	1904	1904
197627	1963	1963
198627	1931	1931
199628	1966	1966
200631	1915	1915
201647	1943	1943
202651	1943	1943
203656	1974	1974
204659	1928	1928
205660	1889	1889
206663	2016	2016
207668	2040	2040
208668	2112	2112
209671	2124	2124
210672	2055	2055
211672	1969	1969
212672	1934	1934
213675	1901	1901
214675	1957	1957
215680	2016	2016
216683	2004	2004
217683	2040	2040
218691	2021	2021
219699	2041	2041
220699	2018	2018
221703	2091	2091
222703	2047	2047
223711	2012	2012
224715	1976	1976
225716	2020	2020
226717	2123	2123
227717	2107	2107
228720	2023	2023
229721	1988	1988
230723	2035	2035
231725	2011	2011
232725	2027	2027
233727	2013	2013
234729	2005	2005
235732	1973	1973
236752	1951	1951
237760	1907	1907
238764	1899	1899
239766	1916	1916
240766	1934	1934
241769	1966	1966
242772	2072	2072
243777	1962	1962
244779	1912	1912
245780	1935	1935
246783	1920	1920
247784	1993	1993
248784	1989	1989
249790	2004	2004
250793	1988	1988
251793	1995	1995
252797	2017	2017
253801	2029	2029
254802	1967	1967
255805	2017	2017
256806	2012	2012
257814	1909	1909
258816	1983	1983
259818	2017	2017
260820	2047	2047
261820	1991	1991
262821	1987	1987
263824	1934	1934
264824	1929	1929
265827	1865	1865
266828	1888	1888
267831	1879	1879
268832	1966	1966
269838	2022	2022
270838	1971	1971
271843	1930	1930
272845	1934	1934
273848	1950	1950
274851	2076	2076
275852	2113	2113
276854	2030	2030
277857	1978	1978
278860	1916	1916
279861	1910	1910
280861	1918	1918
281864	1974	1974
282867	1935	1935
283868	1953	1953
284871	1952	1952
285875	1995	1995
286876	1996	1996
287879	2096	2096
288880	1988	1988
289881	1942	1942
290884	2000	2000
291886	1930	1930
292887	1961	1961
293896	1946	1946
294903	2033	2033
295903	2045	2045
296915	1975	1975
297917	2133	2133
298937	2041	2041
299944	2016	2016
300952	2074	2074
301960	2030	2030
302969	2041	2041
303978	2035	2035
304988	2009	2009
