SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1559	410	410
3088	2015	2015
4614	3566	3566
6139	4999	4999
7664	6295	6295
9203	7593	7593
10728	8159	8159
12253	8336	8336
13778	8491	8491
14801	8764	8764
16066	9010	9010
17067	9212	9212
18354	9419	9419
19357	9672	9672
20642	9834	9834
21645	10022	10022
22930	10084	10084
23940	10352	10352
25218	10386	10386
26226	10575	10575
27506	10652	10652
28507	10678	10678
29807	10766	10766
30814	10873	10873
32095	10933	10933
33101	11017	11017
34383	10962	10962
35385	11070	11070
36671	10938	10938
37679	11098	11098
38959	11027	11027
39960	11216	11216
41247	11142	11142
42255	11307	11307
43548	11366	11366
44548	11469	11469
45836	11600	11600
46836	11776	11776
48124	11803	11803
49132	12028	12028
50438	11910	11910
51439	12004	12004
52729	11933	11933
53735	12032	12032
55017	11924	11924
56023	12025	12025
57305	11912	11912
58305	12005	12005
59593	11963	11963
60598	11996	11996
61881	11962	11962
62886	12060	12060
64169	11988	11988
65174	12048	12048
66457	11899	11899
67462	11957	11957
68793	11813	11813
69795	11869	11869
71081	11685	11685
72083	11773	11773
73369	11671	11671
74395	11810	11810
75657	11769	11769
76683	11927	11927
77945	11890	11890
78984	12024	12024
80233	11991	11991
81272	12088	12088
82521	12052	12052
83560	12100	12100
84809	12037	12037
85848	12085	12085
87097	11972	11972
88136	12022	12022
89385	12009	12009
90385	12120	12120
91673	12102	12102
92682	12135	12135
93961	12086	12086
94970	12166	12166
96248	12157	12157
97260	12194	12194
98536	12240	12240
99574	12287	12287
100824	12297	12297
101865	12274	12274
103112	12235	12235
104153	12314	12314
105400	12331	12331
106441	12357	12357
107688	12271	12271
108697	12216	12216
109976	12163	12163
110985	12147	12147
112264	12125	12125
113273	12152	12152
114552	12187	12187
115574	12200	12200
116840	12083	12083
117862	12094	12094
118888	12029	12029
119891	12022	12022
120931	12109	12109
121952	12127	12127
122954	12008	12008
123982	11956	11956
124993	11844	11844
126005	11842	11842
127032	11828	11828
128053	11732	11732
129069	11786	11786
130083	11838	11838
131103	11856	11856
132145	11858	11858
133169	11892	11892
134171	11921	11921
135196	12048	12048
136219	12087	12087
137220	12066	12066
138260	12008	12008
139261	11997	11997
140268	12039	12039
141310	11959	11959
142320	12005	12005
143332	12027	12027
144374	12008	12008
145376	12010	12010
146383	11961	11961
147438	11942	11942
148463	12021	12021
149726	11948	11948
150751	12103	12103
152027	12217	12217
153052	12357	12357
154340	12389	12389
155351	12413	12413
156354	12380	12380
157401	12347	12347
158402	12302	12302
159404	12296	12296
160451	12367	12367
161453	12442	12442
162455	12363	12363
163502	12320	12320
164503	12179	12179
165519	12082	12082
166552	12087	12087
167567	12126	12126
168569	12064	12064
169603	12192	12192
170617	12203	12203
171620	12157	12157
172653	11969	11969
173668	11986	11986
174670	11942	11942
175704	12044	12044
176719	12135	12135
177721	12192	12192
178755	12193	12193
179755	12229	12229
180772	12264	12264
181805	12264	12264
182819	12234	12234
183822	12252	12252
184856	12291	12291
185856	12474	12474
186872	12364	12364
187906	12388	12388
188907	12343	12343
189923	12252	12252
190957	12300	12300
191958	12234	12234
192987	12241	12241
194008	12240	12240
195008	12223	12223
196037	12193	12193
197058	12105	12105
198059	12081	12081
199101	12109	12109
200109	12096	12096
201109	12074	12074
202151	12059	12059
203159	12110	12110
204160	12155	12155
205254	12152	12152
206256	12218	12218
207256	12245	12245
208318	12291	12291
209382	12357	12357
210406	12305	12305
211549	12341	12341
212549	12377	12377
213837	12365	12365
214850	12456	12456
216124	12439	12439
217138	12580	12580
218412	12548	12548
219426	12648	12648
220700	12635	12635
221700	12776	12776
222988	12801	12801
223989	12838	12838
225276	12856	12856
226279	12901	12901
227564	12822	12822
228564	12735	12735
229852	12590	12590
230854	12525	12525
231877	12331	12331
232903	12306	12306
233903	12287	12287
234941	12202	12202
235953	12160	12160
236954	12115	12115
237991	12081	12081
239004	12097	12097
240004	12099	12099
241292	12135	12135
242292	12165	12165
243580	12279	12279
244582	12364	12364
245868	12332	12332
246868	12410	12410
248156	12425	12425
249156	12509	12509
250444	12458	12458
251444	12662	12662
252732	12676	12676
253733	12756	12756
255020	12621	12621
256021	12601	12601
257308	12454	12454
258309	12452	12452
259318	12306	12306
260358	12318	12318
261368	12417	12417
262369	12322	12322
263409	12254	12254
264419	12166	12166
265420	12113	12113
266459	12192	12192
267469	12308	12308
268471	12374	12374
269510	12481	12481
270520	12589	12589
271522	12653	12653
272561	12669	12669
273570	12660	12660
274585	12577	12577
275611	12572	12572
276621	12615	12615
277649	12650	12650
278662	12678	12678
279672	12662	12662
280699	12589	12589
281712	12565	12565
282722	12580	12580
283750	12496	12496
284763	12512	12512
285773	12569	12569
286800	12648	12648
287813	12692	12692
288823	12740	12740
289851	12769	12769
290864	12783	12783
291874	12795	12795
292902	12911	12911
293915	12930	12930
294924	13003	13003
295952	13061	13061
296965	13106	13106
297975	13176	13176
299003	13134	13134
300016	13139	13139
301026	13162	13162
302029	13128	13128
303066	13128	13128
304076	13065	13065
305104	12925	12925
306117	12852	12852
307127	12898	12898
308155	12841	12841
309168	12814	12814
310177	12803	12803
311205	12800	12800
312218	12781	12781
313228	12839	12839
314256	12871	12871
315269	12810	12810
316279	12842	12842
317306	12940	12940
318319	13077	13077
319320	13185	13185
320357	13068	13068
321370	13051	13051
322371	13060	13060
323409	13091	13091
324421	13086	13086
325422	13080	13080
326459	13048	13048
327471	12995	12995
328472	12969	12969
329510	12976	12976
330522	12871	12871
331523	12704	12704
332561	12646	12646
333572	12599	12599
334573	12625	12625
335611	12572	12572
336623	12568	12568
337624	12550	12550
338662	12555	12555
339687	12588	12588
340696	12634	12634
341712	12630	12630
342737	12672	12672
343747	12820	12820
344763	12959	12959
345788	13073	13073
346788	13208	13208
347814	13245	13245
348839	13282	13282
349839	13301	13301
350864	13247	13247
351902	13121	13121
353034	13091	13091
354190	13090	13090
355322	13043	13043
356478	12903	12903
357479	12795	12795
358491	12694	12694
359528	12662	12662
360660	12630	12630
361816	12525	12525
362948	12507	12507
364104	12496	12496
365236	12568	12568
366392	12495	12495
367524	12511	12511
368680	12439	12439
369812	12465	12465
370968	12389	12389
372100	12328	12328
373256	12308	12308
374388	12388	12388
375544	12400	12400
376676	12409	12409
377832	12368	12368
378964	12387	12387
380120	12375	12375
381122	12465	12465
382133	12409	12409
383170	12390	12390
384184	12414	12414
385194	12352	12352
386221	12304	12304
387248	12330	12330
388271	12302	12302
389272	12294	12294
390273	12298	12298
391282	12284	12284
392322	12255	12255
393324	12192	12192
394333	12183	12183
395373	12195	12195
396375	12264	12264
397396	12337	12337
398423	12332	12332
399425	12278	12278
400447	12256	12256
401474	12307	12307
402476	12391	12391
403497	12385	12385
404525	12432	12432
405526	12460	12460
406548	12430	12430
407575	12443	12443
408577	12425	12425
409599	12285	12285
410626	12284	12284
411628	12300	12300
412649	12338	12338
413676	12340	12340
