SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1000	510	510
2012	1271	1271
3075	1879	1879
4077	2629	2629
5079	3348	3348
6125	3891	3891
7127	3968	3968
8140	3998	3998
9193	4134	4134
10193	4347	4347
11216	4463	4463
12243	4608	4608
13244	4761	4761
14284	4883	4883
15294	4995	4995
16302	5129	5129
17335	5110	5110
18344	5294	5294
19354	5383	5383
20385	5476	5476
21401	5542	5542
22404	5634	5634
23436	5559	5559
24451	5593	5593
25455	5642	5642
26486	5645	5645
27502	5749	5749
28503	5854	5854
29537	5822	5822
30552	5841	5841
31554	5827	5827
32587	5750	5750
33603	5792	5792
34604	5813	5813
35638	5713	5713
36654	5788	5788
37654	5839	5839
38689	5657	5657
39704	5720	5720
40704	5771	5771
41705	5629	5629
42755	5765	5765
43756	5795	5795
44756	5663	5663
45805	5785	5785
46806	5878	5878
47807	5718	5718
48856	5804	5804
49856	5909	5909
50870	5823	5823
51907	5784	5784
52907	5850	5850
53942	5706	5706
54957	5675	5675
55959	5741	5741
56992	5635	5635
58008	5700	5700
59009	5780	5780
60043	5799	5799
61058	5863	5863
62060	5912	5912
63093	5916	5916
64109	5888	5888
65110	5867	5867
66144	5813	5813
67160	5776	5776
68161	5764	5764
69195	5684	5684
70210	5743	5743
71212	5844	5844
72245	5716	5716
73261	5781	5781
74262	5813	5813
75296	5717	5717
76311	5733	5733
77313	5780	5780
78346	5745	5745
79362	5759	5759
80364	5815	5815
81365	5801	5801
82413	5857	5857
83414	5894	5894
84416	5879	5879
85530	5852	5852
86530	5861	5861
87582	5768	5768
88671	5804	5804
89672	5873	5873
90868	5786	5786
91869	5891	5891
92871	5803	5803
93919	5776	5776
94919	5826	5826
95934	5686	5686
96970	5660	5660
97971	5774	5774
98985	5739	5739
100020	5810	5810
101022	5873	5873
102024	5877	5877
103071	5892	5892
104072	5970	5970
105082	5946	5946
106121	5839	5839
107123	5884	5884
108133	5851	5851
109172	5812	5812
110174	5846	5846
111183	5881	5881
112223	5836	5836
113223	5940	5940
114247	5985	5985
115273	5918	5918
116274	5996	5996
117297	6016	6016
118324	6029	6029
119325	6039	6039
120348	6055	6055
121374	6027	6027
122376	6020	6020
123377	5988	5988
124425	5907	5907
125427	5961	5961
126438	5932	5932
127476	5885	5885
128477	5937	5937
129491	5956	5956
130526	5895	5895
131527	5932	5932
132527	5968	5968
133577	5879	5879
134577	5916	5916
135587	5928	5928
136627	5832	5832
137628	5878	5878
138629	5895	5895
139678	5850	5850
140679	5870	5870
141679	5882	5882
142729	5857	5857
143729	5897	5897
144730	5903	5903
145779	5868	5868
146779	5969	5969
147803	5986	5986
148830	6020	6020
149830	6077	6077
150867	6086	6086
151880	6113	6113
152881	6108	6108
153918	6092	6092
154931	6033	6033
155931	5992	5992
156968	6057	6057
157982	6003	6003
158982	6000	6000
160032	6018	6018
161032	6041	6041
162032	6072	6072
163083	6080	6080
164083	6088	6088
165083	6094	6094
166133	6114	6114
167133	6127	6127
168134	6141	6141
169184	6132	6132
170184	6179	6179
171191	6229	6229
172234	6234	6234
173235	6268	6268
174241	6260	6260
175243	6194	6194
