SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1044	390	390
2044	1514	1514
3045	2433	2433
4055	2906	2906
5067	2759	2759
6082	2674	2674
7085	2546	2546
8115	2118	2118
9115	1792	1792
10142	1780	1780
11143	1382	1382
12156	1609	1609
13176	1618	1618
14183	1121	1121
15266	2582	2582
16291	3524	3524
17347	3987	3987
18374	6461	6461
19397	5659	5659
20406	6661	6661
21444	7287	7287
22482	7086	7086
23508	7360	7361
24508	6258	6258
25530	7811	7811
26602	8680	8680
27626	9213	9213
28652	8065	8065
29677	11254	11254
30703	11722	11722
31728	13749	13749
32733	14962	14962
33775	9749	9749
34783	11554	11554
35809	12108	12108
36817	11246	11246
37849	9548	9548
38881	8080	8080
39900	7624	7624
40956	13533	13533
42277	12879	12879
43301	19538	19538
44453	12486	12486
45465	18804	18804
46492	13363	13363
47516	12786	12786
48542	10555	10555
49604	15176	15176
50629	16541	16541
51654	15232	15232
52657	15471	15471
53707	10262	10262
54730	11759	11759
55806	19501	19501
56833	17130	17130
57858	10498	10498
58897	9488	9488
59934	11720	11720
60935	5961	5961
61960	15387	15387
62985	17538	17538
64010	8825	8825
65036	17080	17080
66074	27681	27681
67150	22742	22742
68189	24772	24772
69216	17322	17322
70240	16585	16585
71252	16223	16223
72314	14505	14505
73339	13383	13383
74340	18136	18136
75354	22925	22925
76380	16089	16089
77442	18556	18556
78468	16800	16800
79504	14663	14663
80518	20778	20778
81544	18833	18833
82557	14647	14647
83598	9825	9825
84623	15083	15083
85708	20850	20850
86732	21655	21655
87759	18746	18746
88763	20755	20755
89772	12165	12165
90834	11490	11490
91860	20378	20378
92875	15819	15819
93875	23027	23027
94888	15289	15289
95888	14393	14393
96905	15696	15696
97940	19636	19636
98964	23135	23135
99980	19749	19749
101052	17691	17691
102079	21708	21708
103079	16324	16324
104092	15869	15869
105110	14886	14886
106118	17533	17533
107144	15247	15247
108180	18889	18889
109206	19743	19743
110239	14880	14880
111263	16773	16773
112294	15357	15357
113295	11264	11264
114320	14873	14873
115346	17313	17313
116371	13750	13750
117374	24104	24104
118378	19921	19921
119412	15577	15577
120422	19332	19332
121536	20734	20734
122544	20643	20643
123569	18466	18466
124602	18074	18074
125626	17656	17656
126687	18689	18689
127714	21020	21020
128721	23722	23722
129729	20899	20899
130779	13343	13343
131810	11328	11328
132829	10937	10937
133840	24829	24829
134865	15950	15950
135891	16476	16476
136916	23539	23539
137941	20447	20447
138967	16486	16486
139994	13092	13092
141020	16009	16009
142052	20520	20520
143078	16718	16718
144107	18143	18143
145133	18862	18862
146153	18532	18532
147154	23785	23785
148179	16683	16683
149205	18899	18899
150232	20628	20628
151288	10686	10686
152323	13704	13704
153349	12314	12314
154374	15932	15932
155390	18463	18463
156441	10879	10879
157479	15877	15877
158529	19757	19757
159530	13577	13577
160567	22030	22030
161581	9517	9517
162606	19893	19893
163631	20526	20526
164706	16354	16354
165733	20515	20515
166797	16680	16680
167822	19899	19899
168940	16487	16487
169958	24635	24635
170989	23045	23045
172031	21968	21968
173081	14944	14944
174123	17306	17306
175149	22172	22172
176159	26451	26451
177183	18518	18518
178225	15045	15045
179284	15136	15136
180309	15540	15540
181411	30703	30703
182414	28024	28024
183420	18574	18574
184424	16100	16100
185469	18408	18408
186495	16026	16026
187542	19365	19365
188568	15636	15636
189594	19916	19916
190597	15165	15165
191603	13114	13114
192603	18650	18650
193607	18506	18506
194616	20336	20336
195641	16186	16186
196709	13087	13087
197731	19652	19652
198757	14568	14568
199782	14458	14458
200821	18496	18496
201846	11162	11162
202856	12764	12764
203897	12178	12178
204901	14632	14632
205927	18045	18045
206952	15658	15658
207960	20661	20661
208972	21983	21983
209979	13434	13434
211015	17047	17047
212042	12472	12472
213066	15585	15585
214143	19078	19078
215164	19900	19900
216207	21286	21286
217239	12357	12357
218264	17601	17601
219290	21997	21997
220328	24827	24827
221354	20962	20962
222379	20434	20434
223409	18925	18925
224436	18101	18101
225482	13070	13070
226485	24144	24144
227509	6552	6552
228535	17108	17108
229545	18550	18550
230552	11794	11794
231561	19816	19816
232599	18763	18763
233650	25501	25501
234653	21461	21461
235679	15550	15550
236731	16035	16035
237799	18480	18480
238824	14024	14024
239838	26408	26408
240888	18368	18368
241901	18533	18533
242920	19977	19977
244017	32515	32515
245079	36049	36049
246153	26481	26481
247184	20681	20681
248219	19804	19804
249227	19821	19821
250266	20682	20682
251290	22102	22102
252316	19762	19762
253381	22650	22650
254406	23353	23353
255432	16006	16006
256456	23062	23062
257483	14141	14141
258506	13790	13790
259534	19683	19683
260544	17591	17591
261570	25513	25513
262602	26264	26264
263633	20247	20247
264634	21693	21693
265659	18706	18706
266685	14373	14373
267711	17127	17127
268754	15777	15777
269810	17776	17776
271082	25677	25677
272151	17005	17005
273162	28069	28069
274238	14813	14813
275278	20367	20367
276302	16434	16434
277327	12738	12738
278340	23154	23154
279365	17320	17320
280380	20605	20605
281404	20537	20537
282424	18275	18275
283461	20509	20509
284505	15463	15463
285512	14648	14648
286543	14938	14938
287563	13983	13983
288589	16466	16466
289613	16359	16359
290734	24932	24932
291745	21394	21394
292784	21236	21236
293821	10115	10115
294834	30784	30784
295859	21981	21981
296891	17973	17973
297911	27046	27046
298917	24915	24915
299943	15369	15369
300968	13171	13171
301994	20383	20383
303011	22975	22975
304050	17680	17680
305076	26086	26086
306096	17992	17992
307120	19831	19831
308121	21289	21289
309146	18525	18525
310172	21254	21254
311222	17121	17121
312222	17440	17440
313248	19234	19234
314405	14596	14596
315429	23587	23587
316430	24690	24690
317450	16115	16115
318502	22835	22835
319540	10816	10816
320588	27820	27820
321604	17034	17034
322690	15172	15172
323715	25045	25045
324768	19337	19337
325781	21629	21629
326791	18800	18800
327792	24353	24353
328817	20877	20877
329820	20825	20825
330846	18287	18287
331847	22102	22102
332872	14751	14751
333897	17326	17326
334957	23108	23108
335982	17161	17161
336984	25762	25762
338000	18470	18470
339038	14360	14360
340114	17058	17058
341125	16135	16135
342202	12670	12670
343213	13394	13394
344238	18056	18056
345264	18503	18503
346297	21363	21363
347304	20541	20541
348311	20588	20588
349337	10661	10661
350381	22765	22765
351407	18609	18609
352465	16261	16261
353466	15195	15195
354472	21597	21597
355673	17495	17495
356718	15641	15641
357770	22217	22217
358835	21473	21473
359956	30897	30897
360980	18213	18213
362017	25521	25521
363021	22196	22196
364056	24069	24069
365082	23528	23528
366101	14862	14862
367126	14530	14530
368152	14957	14957
369184	14834	14834
370287	27114	27114
371322	23874	23874
372396	21973	21973
373424	21352	21352
374564	17599	17599
375568	22322	22322
376624	19925	19925
377649	20489	20489
378675	20554	20554
379700	17038	17038
380727	18484	18484
381785	20414	20414
382837	15879	15879
383862	19115	19115
384864	24529	24529
385887	18079	18079
387216	22536	22536
388241	21582	21582
389266	22240	22240
390268	17717	17717
391413	15151	15151
392504	20849	20849
393541	16172	16172
394576	13015	13015
395580	17381	17381
396581	17384	17384
397606	15289	15289
398632	24683	24683
399769	24789	24789
400858	23299	23299
401859	29981	29981
402883	21554	21554
403883	17326	17326
404908	16276	16276
405934	13463	13463
406997	11489	11489
408045	24178	24178
409048	24012	24012
410087	25843	25843
411111	33167	33167
412165	16367	16367
413223	17262	17262
414225	25780	25780
415274	20347	20347
416300	17821	17821
417338	20987	20987
418365	28337	28337
419377	16792	16792
420388	16424	16424
421454	19010	19010
422525	13163	13163
423551	19823	19823
424577	15973	15973
425605	22920	22920
426629	15406	15406
427667	20379	20379
428720	23207	23207
429744	15472	15472
430771	23494	23494
431795	18084	18084
432821	14831	14831
433846	13769	13769
434871	18503	18503
435872	14446	14446
436899	16262	16262
437923	25152	25152
438957	16076	16076
439983	18541	18541
440986	15542	15542
441998	11472	11472
443024	17398	17398
444048	25353	25353
445099	12295	12295
446147	24660	24660
447172	24110	24110
448201	18247	18247
449227	18101	18101
450254	20513	20513
451308	20549	20549
452354	11754	11754
453379	31677	31677
454406	24753	24753
455429	23206	23206
456441	14455	14455
457442	22627	22627
458466	23495	23495
459506	16726	16726
460520	21865	21865
461534	22478	22478
462544	21775	21775
463585	23512	23512
464823	32785	32785
465847	31122	31122
466921	24277	24277
467924	20638	20638
468950	26158	26158
469959	24989	24989
470997	14704	14704
472026	20161	20161
473048	13648	13648
474051	22300	22300
475076	13472	13472
476124	10577	10577
