SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1715	544	544
3291	2554	2554
4921	4146	4146
6375	5899	5899
7997	7272	7272
9597	8873	8873
11198	10473	10473
12799	12074	12074
14399	13675	13675
16000	15275	15275
17601	16876	16876
19201	18477	18477
20802	20077	20077
22403	21678	21678
24003	23279	23279
25604	24879	24879
27205	26480	26480
28805	28081	28081
30406	29681	29681
32007	31282	31282
33607	32883	32883
35208	34483	34483
36808	36084	36084
38409	37685	37685
40010	39285	39285
41610	40886	40886
43211	42487	42487
44812	44087	44087
46412	45688	45688
48013	47288	47288
49614	48889	48889
51214	50490	50490
52815	52090	52090
54416	53691	53691
56016	55292	55292
57617	56892	56892
59218	58493	58493
60818	60094	60094
62419	61694	61694
64020	63295	63295
65620	64896	64896
67221	66496	66496
68822	68097	68097
70422	69698	69698
72023	71298	71298
73624	72899	72899
75224	74500	74500
76825	76100	76100
78426	77701	77701
80026	79302	79302
81627	80902	80902
83228	82503	82503
84828	84104	84104
86429	85704	85704
88030	87305	87305
89630	88906	88906
91231	90506	90506
92832	92107	92107
94432	93708	93708
96033	95308	95308
97633	96909	96909
99234	98510	98510
100835	100110	100110
102435	101711	101711
104036	103312	103312
105637	104912	104912
107237	106513	106513
108838	108113	108113
110439	109714	109714
112039	111315	111315
113640	112915	112915
115241	114516	114516
116841	116117	116117
118442	117717	117717
120043	119318	119318
121643	120919	120919
123244	122519	122519
124845	124120	124120
126445	125721	125721
128046	127321	127321
129647	128922	128922
131247	130523	130523
132848	132123	132123
134449	133724	133724
136049	135325	135325
137650	136925	136925
139251	138526	138526
140851	140127	140127
142452	141727	141727
144053	143328	143328
145653	144929	144929
147254	146529	146529
148855	148130	148130
150455	149731	149731
152056	151331	151331
153657	152932	152932
155257	154533	154533
156858	156133	156133
158458	157734	157734
160059	159335	159335
161660	160935	160935
163260	162536	162536
164861	164137	164137
166462	165737	165737
168062	167338	167338
169663	168938	168938
171264	170539	170539
172864	172140	172140
174465	173740	173740
176066	175341	175341
177666	176942	176942
179267	178542	178542
180868	180143	180143
182468	181744	181744
184069	183344	183344
185670	184945	184945
187270	186546	186546
188871	188146	188146
190472	189747	189747
192072	191348	191348
193673	192948	192948
195274	194549	194549
196874	196150	196150
198475	197750	197750
200076	199351	199351
201676	200952	200952
203277	202552	202552
204878	204128	204153
206478	205594	205594
208079	205604	205604
209680	205216	205216
211280	204901	204901
212881	204884	204884
214482	204884	204884
216082	204884	204884
217683	204884	204884
219283	204884	204884
220884	204884	204884
222485	204884	204884
224085	204884	204884
225686	204884	204884
227287	204884	204884
228887	204884	204884
230488	204884	204884
232089	204884	204884
233689	204884	204884
235290	204884	204884
236891	204884	204884
238491	204884	204884
240092	204884	204884
241693	204884	204884
243293	204884	204884
244894	204884	204884
246495	204884	204884
248095	204884	204884
249696	204884	204884
251297	204884	204884
252897	204884	204884
254498	204884	204884
256099	204884	204884
257699	204884	204884
259300	204884	204884
260901	204884	204884
262501	204884	204884
264102	204884	204884
265703	204884	204884
267303	204884	204884
268904	204884	204884
270505	204884	204884
272105	204884	204884
273706	204884	204884
275307	204884	204884
276907	204884	204884
278508	204884	204884
280109	204884	204884
281709	204884	204884
283310	204884	204884
284910	204884	204884
286511	204884	204884
288112	204884	204884
289712	204884	204884
291313	204884	204884
292914	204884	204884
294514	204884	204884
296115	204884	204884
297716	204884	204884
299316	204884	204884
300917	204884	204884
302518	204884	204884
304118	204884	204884
305719	204884	204884
307320	204884	204884
308920	204884	204884
310521	204884	204884
312122	204884	204884
313722	204884	204884
315323	204884	204884
316924	204884	204884
