SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1141	704	704
2338	1712	1712
3536	2910	2910
4733	4107	4107
5931	5305	5305
7128	6502	6502
8326	7700	7700
9523	8897	8897
10721	10095	10095
11918	11292	11292
13116	12490	12490
14313	13687	13687
15511	14885	14885
16708	16082	16082
17906	17280	17280
19103	18477	18477
20301	19675	19675
21498	20872	20872
22696	22070	22070
23893	23267	23267
25091	24465	24465
26288	25662	25662
27486	26860	26860
28683	28057	28057
29881	29255	29255
31078	30452	30452
32276	31650	31650
33473	32847	32847
34671	34045	34045
35868	35242	35242
37066	36440	36440
38263	37637	37637
39461	38835	38835
40658	40032	40032
41856	41230	41230
43053	42427	42427
44251	43625	43625
45448	44822	44822
46646	46020	46020
47843	47217	47217
49041	48415	48415
50238	49612	49612
51436	50810	50810
52633	52007	52007
53831	53205	53205
55028	54402	54402
56226	55600	55600
57423	56797	56797
58621	57995	57995
59819	59192	59192
61016	60390	60390
62214	61587	61587
63411	62785	62785
64609	63982	63982
65806	65180	65180
67004	66377	66377
68201	67575	67575
69399	68772	68772
70596	69970	69970
71794	71167	71167
72991	72365	72365
74189	73562	73562
75386	74760	74760
76510	75945	75945
77540	76363	76388
78545	75837	75837
79550	75353	75353
80556	74854	74854
81561	74370	74370
82567	73871	73871
83572	73387	73387
84577	72888	72888
85583	72404	72404
86588	71905	71905
87593	71421	71421
88599	70922	70922
89604	70438	70438
90609	69939	69939
91615	69455	69455
92620	68956	68956
93626	68472	68472
94631	67973	67973
95636	67489	67489
96642	66990	66990
97647	66506	66506
98652	66007	66007
99658	65522	65522
100663	65024	65024
101668	64539	64539
102674	64040	64040
103679	63556	63556
104684	63057	63057
105690	62573	62573
106695	62074	62074
107701	61590	61590
108706	61091	61091
109711	60607	60607
110717	60108	60108
111722	59624	59624
112727	59125	59125
113733	58641	58641
114738	58142	58142
115743	57658	57658
116749	57159	57159
117754	56675	56675
118760	56176	56176
119765	55692	55692
120770	55193	55193
121776	54709	54709
122781	54210	54210
123786	53726	53726
124792	53227	53227
125797	52743	52743
126802	52244	52244
127808	51762	51762
128813	51479	51479
129818	51474	51474
130824	51474	51474
131829	51474	51474
132835	51474	51474
133840	51474	51474
134845	51474	51474
135851	51474	51474
136856	51474	51474
137861	51474	51474
138867	51474	51474
139872	51474	51474
140877	51474	51474
141883	51474	51474
142888	51474	51474
143894	51474	51474
144899	51474	51474
145904	51474	51474
146910	51474	51474
147915	51474	51474
148920	51474	51474
149926	51474	51474
150931	51474	51474
151936	51474	51474
152942	51474	51474
153947	51474	51474
154952	51474	51474
155958	51474	51474
156963	51474	51474
157969	51474	51474
158974	51474	51474
159979	51474	51474
160985	51474	51474
161990	51474	51474
162995	51474	51474
164001	51474	51474
165006	51474	51474
166011	51474	51474
167017	51474	51474
168022	51474	51474
169028	51474	51474
170033	51474	51474
171038	51474	51474
172044	51474	51474
173049	51474	51474
174054	51474	51474
175060	51474	51474
176065	51474	51474
177070	51474	51474
178076	51474	51474
179081	51474	51474
180086	51474	51474
181092	51474	51474
182097	51474	51474
183103	51474	51474
184108	51474	51474
185113	51474	51474
186119	51474	51474
187124	51474	51474
188129	51474	51474
189135	51474	51474
190140	51474	51474
191145	51474	51474
192151	51474	51474
193156	51474	51474
194162	51474	51474
195167	51474	51474
196172	51474	51474
197178	51474	51474
198183	51474	51474
199188	51474	51474
200194	51474	51474
201199	51474	51474
202204	51474	51474
203210	51474	51474
204215	51474	51474
205220	51474	51474
206226	51474	51474
207231	51474	51474
208237	51474	51474
209242	51474	51474
210247	51474	51474
211253	51474	51474
212258	51474	51474
213263	51474	51474
214269	51474	51474
215274	51474	51474
216279	51474	51474
217285	51474	51474
218290	51474	51474
219296	51474	51474
220301	51474	51474
221306	51474	51474
222312	51474	51474
223317	51474	51474
224322	51474	51474
225328	51474	51474
226333	51474	51474
227338	51474	51474
228344	51474	51474
229349	51474	51474
230354	51474	51474
231360	51474	51474
232365	51474	51474
233371	51474	51474
234376	51474	51474
235381	51474	51474
236387	51474	51474
237392	51474	51474
238397	51474	51474
239403	51474	51474
240408	51474	51474
241413	51474	51474
242419	51474	51474
243424	51474	51474
244430	51474	51474
245435	51474	51474
246440	51474	51474
247446	51474	51474
248451	51474	51474
249456	51474	51474
250462	51474	51474
251467	51474	51474
252472	51474	51474
253478	51474	51474
254483	51474	51474
255488	51474	51474
256494	51474	51474
257499	51474	51474
258505	51474	51474
259510	51474	51474
260515	51474	51474
261521	51474	51474
262526	51474	51474
263531	51474	51474
264537	51474	51474
265542	51474	51474
266547	51474	51474
267553	51474	51474
268558	51474	51474
269564	51474	51474
270569	51474	51474
271574	51474	51474
272580	51474	51474
273585	51474	51474
274590	51474	51474
275596	51474	51474
276601	51474	51474
277606	51474	51474
278612	51474	51474
279617	51474	51474
280622	51474	51474
281628	51474	51474
282633	51474	51474
283639	51474	51474
284644	51474	51474
285649	51474	51474
286655	51474	51474
287660	51474	51474
288665	51474	51474
289671	51474	51474
290676	51474	51474
291681	51474	51474
292687	51474	51474
293692	51474	51474
294698	51474	51474
295703	51474	51474
296708	51474	51474
297714	51474	51474
298719	51474	51474
299724	51474	51474
300730	51474	51474
301735	51474	51474
302740	51474	51474
303746	51474	51474
304751	51474	51474
305756	51474	51474
306762	51474	51474
307767	51474	51474
308773	51474	51474
309778	51474	51474
310783	51474	51474
311789	51474	51474
312794	51474	51474
313799	51474	51474
314805	51474	51474
315810	51474	51474
316815	51474	51474
317821	51474	51474
318826	51474	51474
319832	51474	51474
320837	51474	51474
321842	51474	51474
322848	51474	51474
323853	51474	51474
324858	51474	51474
325864	51474	51474
326869	51474	51474
327874	51474	51474
328880	51474	51474
329885	51474	51474
330890	51474	51474
331896	51474	51474
332901	51474	51474
333907	51474	51474
334912	51474	51474
335917	51474	51474
336923	51474	51474
337928	51474	51474
338933	51474	51474
339939	51474	51474
340944	51474	51474
341949	51474	51474
342955	51474	51474
343960	51474	51474
344966	51474	51474
345971	51474	51474
346976	51474	51474
347982	51474	51474
348987	51474	51474
349992	51474	51474
350998	51474	51474
352003	51474	51474
353008	51474	51474
354014	51474	51474
355019	51474	51474
356024	51474	51474
357030	51474	51474
358035	51474	51474
359041	51474	51474
360046	51474	51474
361051	51474	51474
362057	51474	51474
363062	51474	51474
364067	51474	51474
365073	51474	51474
366078	51474	51474
367083	51474	51474
368089	51474	51474
369094	51474	51474
370100	51474	51474
371105	51474	51474
372110	51474	51474
373116	51474	51474
374121	51474	51474
375126	51474	51474
376132	51474	51474
377137	51474	51474
378142	51474	51474
379148	51474	51474
380153	51474	51474
381158	51474	51474
382164	51474	51474
383169	51474	51474
384175	51474	51474
385180	51474	51474
386185	51474	51474
387191	51474	51474
388196	51474	51474
389201	51474	51474
390207	51474	51474
391212	51474	51474
392217	51474	51474
393223	51474	51474
394228	51474	51474
395234	51474	51474
396239	51474	51474
397244	51474	51474
398250	51474	51474
399255	51474	51474
400260	51474	51474
401266	51474	51474
402271	51474	51474
403276	51474	51474
404282	51474	51474
405287	51474	51474
406292	51474	51474
407298	51474	51474
408303	51474	51474
409309	51474	51474
410314	51474	51474
411319	51474	51474
412325	51474	51474
413330	51474	51474
414335	51474	51474
415341	51474	51474
416346	51474	51474
417351	51474	51474
418357	51474	51474
419362	51474	51474
420368	51474	51474
421373	51474	51474
422378	51474	51474
423384	51474	51474
424389	51474	51474
425394	51474	51474
426400	51474	51474
427405	51474	51474
428410	51474	51474
429416	51474	51474
430421	51474	51474
431426	51474	51474
432432	51474	51474
433437	51474	51474
434443	51474	51474
435448	51474	51474
436453	51474	51474
437459	51474	51474
438464	51474	51474
439469	51474	51474
440475	51474	51474
441480	51474	51474
442485	51474	51474
443491	51474	51474
444496	51474	51474
445502	51474	51474
446507	51474	51474
447512	51474	51474
448518	51474	51474
449523	51474	51474
450528	51474	51474
451534	51474	51474
452539	51474	51474
453544	51474	51474
454550	51474	51474
455555	51474	51474
456560	51474	51474
457566	51474	51474
458571	51474	51474
459577	51474	51474
460582	51474	51474
461587	51474	51474
462593	51474	51474
463598	51474	51474
464603	51474	51474
465609	51474	51474
466614	51474	51474
467619	51474	51474
468625	51474	51474
469630	51474	51474
470636	51474	51474
471641	51474	51474
472646	51474	51474
473652	51474	51474
474657	51474	51474
475662	51474	51474
476668	51474	51474
477673	51474	51474
478678	51474	51474
479684	51474	51474
480689	51474	51474
481694	51474	51474
482700	51474	51474
483705	51474	51474
484711	51474	51474
485716	51474	51474
486721	51474	51474
487727	51474	51474
488732	51474	51474
489737	51474	51474
490743	51474	51474
491748	51474	51474
492753	51474	51474
493759	51474	51474
494764	51474	51474
495770	51474	51474
496775	51474	51474
497780	51474	51474
498786	51474	51474
499791	51474	51474
500796	51474	51474
501802	51474	51474
502807	51474	51474
503812	51474	51474
504818	51474	51474
505823	51474	51474
506828	51474	51474
507834	51474	51474
508839	51474	51474
509845	51474	51474
510850	51474	51474
511855	51474	51474
512861	51474	51474
513866	51474	51474
514871	51474	51474
515877	51474	51474
516882	51474	51474
517887	51474	51474
518893	51474	51474
519898	51474	51474
520904	51474	51474
521909	51474	51474
522914	51474	51474
523920	51474	51474
524925	51474	51474
525930	51474	51474
526936	51474	51474
527941	51474	51474
528946	51474	51474
529952	51474	51474
530957	51474	51474
531962	51474	51474
532968	51474	51474
533973	51474	51474
534979	51474	51474
