SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1000	506	506
2001	1087	1087
3005	1144	1144
4009	1173	1173
5010	1259	1259
6011	1312	1312
7012	1311	1311
8014	1340	1340
9015	1308	1308
10015	1322	1322
11016	1312	1312
12018	1311	1311
13018	1320	1320
14021	1392	1392
15023	1376	1376
16026	1351	1351
17027	1365	1365
18029	1391	1391
19033	1368	1368
20038	1374	1374
21039	1358	1358
22040	1395	1395
23041	1390	1390
24041	1352	1352
25044	1342	1342
26045	1322	1322
27047	1356	1356
28051	1342	1342
29051	1356	1356
30052	1351	1351
31055	1351	1351
32060	1358	1358
33062	1365	1365
34062	1370	1370
35068	1373	1373
36071	1370	1370
37073	1333	1333
38078	1389	1389
39086	1389	1389
40086	1402	1402
41086	1393	1393
42089	1408	1408
43092	1412	1412
44098	1424	1424
45102	1373	1373
46107	1392	1392
47111	1303	1303
48115	1319	1319
49120	1388	1388
50120	1369	1369
51121	1390	1390
52122	1401	1401
53126	1432	1432
54131	1409	1409
55135	1411	1411
56141	1390	1390
57146	1448	1448
58147	1463	1463
59147	1393	1393
60148	1424	1424
61151	1390	1390
62153	1454	1454
63154	1417	1417
64155	1358	1358
65156	1376	1376
66158	1348	1348
67164	1432	1432
68168	1386	1386
69172	1338	1338
70177	1362	1362
71178	1387	1387
72178	1463	1463
73178	1445	1445
74183	1451	1451
75186	1356	1356
76191	1408	1408
77196	1435	1435
78200	1443	1443
79205	1442	1442
80205	1446	1446
81205	1383	1383
82208	1423	1423
83211	1431	1431
84215	1426	1426
85218	1438	1438
86220	1409	1409
87228	1406	1406
88233	1380	1380
89238	1366	1366
90242	1384	1384
91247	1461	1461
92251	1395	1395
93252	1351	1351
94252	1421	1421
95253	1433	1433
96257	1429	1429
97262	1405	1405
98265	1381	1381
99272	1430	1430
100276	1446	1446
101281	1356	1356
102287	1398	1398
103294	1404	1404
104296	1428	1428
105301	1425	1425
106305	1432	1432
107310	1375	1375
108315	1359	1359
109320	1365	1365
110326	1369	1369
111333	1412	1412
112337	1421	1421
113341	1386	1386
114346	1390	1390
115349	1445	1445
116354	1420	1420
117359	1410	1410
118364	1395	1395
119367	1419	1419
120372	1370	1370
121377	1395	1395
122384	1374	1374
123386	1356	1356
124391	1360	1360
125396	1418	1418
126396	1426	1426
127397	1447	1447
128399	1418	1418
129401	1437	1437
130406	1358	1358
131411	1415	1415
132416	1409	1409
133417	1375	1375
134422	1382	1382
135426	1394	1394
136431	1397	1397
137432	1395	1395
138433	1393	1393
139437	1480	1480
140440	1488	1488
141444	1474	1474
142449	1424	1424
143453	1386	1386
144453	1425	1425
145454	1442	1442
146458	1422	1422
147458	1429	1429
148460	1409	1409
149463	1420	1420
150464	1413	1413
151466	1406	1406
152466	1477	1477
153473	1365	1365
154484	1407	1407
155489	1428	1428
156494	1376	1376
157494	1371	1371
158496	1389	1389
159497	1436	1436
160498	1462	1462
161499	1428	1428
162504	1430	1430
163507	1458	1458
164512	1404	1404
165517	1426	1426
166517	1436	1436
167519	1472	1472
168519	1445	1445
169519	1423	1423
170520	1415	1415
171521	1445	1445
172521	1376	1376
173523	1416	1416
174524	1418	1418
175529	1457	1457
176530	1531	1531
177530	1416	1416
178531	1391	1391
179535	1339	1339
180536	1436	1436
181536	1415	1415
182538	1424	1424
183538	1410	1410
184538	1395	1395
185540	1381	1381
186544	1347	1347
187548	1375	1375
188557	1403	1403
189557	1464	1464
190562	1434	1434
191563	1466	1466
192564	1359	1359
193566	1398	1398
194568	1361	1361
195568	1370	1370
196569	1372	1372
197571	1441	1441
198575	1388	1388
199575	1441	1441
200575	1390	1390
201578	1381	1381
202579	1441	1441
203581	1433	1433
204582	1431	1431
205587	1343	1343
206589	1420	1420
207591	1459	1459
208595	1436	1436
209600	1423	1423
210602	1375	1375
211603	1355	1355
212603	1391	1391
213604	1421	1421
214612	1459	1459
215617	1522	1522
216617	1539	1539
217622	1578	1578
218626	1450	1450
219627	1407	1407
220636	1470	1470
221637	1415	1415
222644	1423	1423
223644	1449	1449
224646	1438	1438
225647	1438	1438
226648	1395	1395
227649	1426	1426
228651	1414	1414
229652	1357	1357
230652	1401	1401
231655	1448	1448
232655	1402	1402
233660	1379	1379
234661	1366	1366
235662	1407	1407
236667	1376	1376
237674	1452	1452
238676	1370	1370
239676	1369	1369
240678	1412	1412
241678	1398	1398
242683	1443	1443
243688	1436	1436
244693	1460	1460
245698	1417	1417
246701	1420	1420
247702	1398	1398
248707	1413	1413
249712	1399	1399
250714	1367	1367
251715	1380	1380
252716	1401	1401
253718	1359	1359
254722	1369	1369
255727	1416	1416
256728	1389	1389
257728	1470	1470
258729	1399	1399
259730	1366	1366
260738	1383	1383
261738	1448	1448
262739	1370	1370
263743	1424	1424
264744	1407	1407
265748	1461	1461
266752	1461	1461
267757	1407	1407
268757	1448	1448
269758	1414	1414
270759	1405	1405
271759	1380	1380
272760	1399	1399
273761	1451	1451
274763	1435	1435
275765	1454	1454
276769	1453	1453
277770	1469	1469
278771	1528	1528
279772	1461	1461
280777	1405	1405
281778	1402	1402
282780	1417	1417
283781	1412	1412
284784	1374	1374
285814	1454	1454
286817	1464	1464
287817	1409	1409
288818	1408	1408
289819	1484	1484
290821	1472	1472
291821	1428	1428
292823	1368	1368
293823	1439	1439
294825	1374	1374
295826	1426	1426
296828	1443	1443
297832	1423	1423
298834	1428	1428
299836	1460	1460
300841	1496	1496
301843	1462	1462
302845	1470	1470
303847	1474	1474
304853	1410	1410
305857	1466	1466
306857	1454	1454
307861	1460	1460
308862	1434	1434
309863	1358	1358
310868	1339	1339
311872	1391	1391
312877	1454	1454
313877	1425	1425
314877	1388	1388
315877	1473	1473
316878	1416	1416
317880	1412	1412
318882	1433	1433
319887	1419	1419
320888	1363	1363
321888	1431	1431
322889	1394	1394
323892	1431	1431
324894	1452	1452
325895	1384	1384
326900	1479	1479
327902	1435	1435
328902	1428	1428
329902	1359	1359
330905	1391	1391
331909	1443	1443
332914	1377	1377
333914	1403	1403
334919	1349	1349
335921	1357	1357
336924	1350	1350
337925	1430	1430
338926	1425	1425
339929	1387	1387
340934	1428	1428
341939	1415	1415
342939	1455	1455
343940	1438	1438
344945	1449	1449
345946	1432	1432
346946	1445	1445
347949	1371	1371
348957	1411	1411
349957	1441	1441
350958	1412	1412
351959	1440	1440
352959	1413	1413
353960	1398	1398
354963	1395	1395
355963	1413	1413
356965	1372	1372
357965	1390	1390
358967	1332	1332
359969	1360	1360
360970	1424	1424
361973	1418	1418
362974	1364	1364
363976	1448	1448
364977	1444	1444
365979	1465	1465
366980	1445	1445
367983	1470	1470
368985	1415	1415
369987	1423	1423
370988	1382	1382
371991	1363	1363
372994	1348	1348
373999	1424	1424
375004	1482	1482
376004	1491	1491
377006	1387	1387
378008	1405	1405
379013	1444	1444
380017	1390	1390
381020	1423	1423
382025	1459	1459
383029	1434	1434
384033	1436	1436
385034	1411	1411
386037	1399	1399
387040	1394	1394
388042	1432	1432
389045	1435	1435
390046	1389	1389
391049	1452	1452
392054	1410	1410
393055	1385	1385
394059	1388	1388
395059	1464	1464
396061	1423	1423
397066	1402	1402
398071	1382	1382
399076	1411	1411
400080	1355	1355
401082	1425	1425
402083	1382	1382
403084	1459	1459
404089	1432	1432
405090	1527	1527
406092	1484	1484
407092	1451	1451
408096	1511	1511
409097	1477	1477
410099	1451	1451
411099	1423	1423
412099	1425	1425
413100	1473	1473
414102	1434	1434
415103	1374	1374
416103	1362	1362
417103	1384	1384
418105	1379	1379
419106	1430	1430
420107	1447	1447
421111	1460	1460
422117	1414	1414
423122	1403	1403
424123	1381	1381
425124	1390	1390
426125	1419	1419
427125	1410	1410
428127	1386	1386
429129	1376	1376
430131	1373	1373
431131	1385	1385
432132	1441	1441
433138	1438	1438
434140	1428	1428
435142	1429	1429
436147	1435	1435
437147	1448	1448
438149	1438	1438
439151	1346	1346
440154	1372	1372
441156	1362	1362
442161	1451	1451
443162	1419	1419
444164	1414	1414
445164	1416	1416
446166	1449	1449
447167	1426	1426
448172	1377	1377
449172	1413	1413
450176	1414	1414
451176	1420	1420
452181	1417	1417
453183	1495	1495
454188	1515	1515
455192	1425	1425
456195	1377	1377
457200	1511	1511
458203	1505	1505
459205	1423	1423
460206	1438	1438
461207	1453	1453
462208	1459	1459
463210	1524	1524
464215	1405	1405
465216	1441	1441
466217	1451	1451
467220	1427	1427
468222	1401	1401
469223	1504	1504
470224	1476	1476
471225	1447	1447
472226	1466	1466
473228	1474	1474
474228	1481	1481
475231	1411	1411
476236	1464	1464
477241	1486	1486
478241	1505	1505
479245	1458	1458
480246	1431	1431
481248	1360	1360
482251	1408	1408
483252	1427	1427
484253	1395	1395
485254	1394	1394
486255	1470	1470
487256	1431	1431
488256	1404	1404
489260	1449	1449
490260	1465	1465
491261	1443	1443
492263	1402	1402
493268	1389	1389
494272	1374	1374
495277	1344	1344
496282	1395	1395
497286	1398	1398
498291	1382	1382
499296	1373	1373
500301	1396	1396
501304	1372	1372
502306	1393	1393
503307	1379	1379
504308	1402	1402
505311	1402	1402
506314	1424	1424
507315	1381	1381
508315	1483	1483
509320	1511	1511
510322	1458	1458
511325	1421	1421
512326	1433	1433
513326	1444	1444
514331	1404	1404
515331	1394	1394
516332	1380	1380
517334	1424	1424
518337	1399	1399
519342	1319	1319
520343	1387	1387
521345	1382	1382
522353	1448	1448
523354	1487	1487
524355	1542	1542
525358	1435	1435
526363	1469	1469
527366	1496	1496
528366	1435	1435
529366	1416	1416
530368	1435	1435
531369	1405	1405
532370	1461	1461
533372	1467	1467
534375	1467	1467
535378	1433	1433
536384	1463	1463
537385	1435	1435
538391	1385	1385
539396	1393	1393
540401	1390	1390
541406	1394	1394
542411	1430	1430
543415	1439	1439
544420	1403	1403
545425	1431	1431
546430	1436	1436
547430	1411	1411
548431	1435	1435
549434	1412	1412
550435	1413	1413
551443	1363	1363
552444	1371	1371
553445	1410	1410
554445	1426	1426
555448	1425	1425
556453	1441	1441
557458	1413	1413
558458	1487	1487
559458	1477	1477
560459	1422	1422
561465	1464	1464
562468	1482	1482
563472	1443	1443
564473	1432	1432
565474	1406	1406
566476	1355	1355
567478	1430	1430
568482	1493	1493
569483	1470	1470
570485	1401	1401
571486	1424	1424
572488	1430	1430
573488	1399	1399
