SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1000	219	219
2007	341	341
3011	556	556
4012	583	583
5013	862	862
6014	910	910
7014	998	998
8028	916	916
9029	1000	1000
10039	1010	1010
11043	1033	1033
12055	985	985
13078	1039	1039
14099	1237	1237
15109	966	966
16135	1060	1060
17151	1206	1206
18161	1158	1158
19168	1090	1090
20169	983	983
21184	1051	1051
22188	1114	1114
23195	938	938
24204	1020	1020
25204	1165	1165
26210	1069	1069
27217	1124	1124
28227	1067	1067
29236	1076	1076
30236	968	968
31238	1066	1066
32242	1065	1065
33250	1092	1092
34258	1064	1064
35259	1113	1113
36259	1197	1197
37278	955	955
38283	1068	1068
39284	1070	1070
40285	1051	1051
41285	1019	1019
42288	1076	1076
43293	1076	1076
44294	866	866
45299	902	902
46341	1159	1159
47345	1260	1260
48371	1235	1235
49376	1251	1251
50381	1125	1125
51391	1037	1037
52391	1246	1246
53413	963	963
54415	1110	1110
55417	797	797
56417	938	938
57419	1290	1290
58423	1048	1048
59426	1057	1057
60431	1128	1128
61447	1256	1256
62459	1170	1170
63462	1102	1102
64483	1209	1209
65497	1143	1143
66508	1116	1116
67510	1152	1152
68513	1211	1211
69523	1124	1124
70535	1232	1232
71536	1162	1162
72537	1167	1167
73537	1108	1108
74549	1216	1216
75550	1190	1190
76552	1070	1070
77565	1221	1221
78566	1050	1050
79578	1182	1182
80579	1220	1220
81592	1202	1202
82596	1201	1201
83600	1309	1309
84602	1102	1102
85606	1315	1315
86606	1147	1147
87615	1180	1180
88617	1186	1186
89619	1190	1190
90633	1140	1140
91634	1152	1152
92645	1007	1007
93672	1097	1097
94697	1312	1312
95699	1279	1279
96712	1218	1218
97735	1140	1140
98757	1196	1196
99761	1253	1253
100775	1260	1260
101786	1221	1221
102788	1131	1131
103789	1125	1125
104800	1143	1143
105801	1046	1046
106815	1235	1235
107839	1275	1275
108851	1189	1189
109852	1037	1037
110854	1318	1318
111864	1179	1179
112867	1109	1109
113882	1237	1237
114882	1021	1021
115890	1259	1259
116905	1151	1151
117907	1191	1191
118931	1277	1277
119933	1373	1373
120934	1415	1415
121946	1250	1250
122947	1157	1157
123948	1117	1117
124949	1100	1100
125956	1154	1154
126958	1092	1092
127963	1304	1304
128966	1037	1037
129987	1178	1178
131017	1086	1086
132025	1106	1106
133027	1002	1002
134029	1275	1275
135038	1099	1099
136038	1176	1176
137040	1399	1399
138040	1213	1213
139042	1180	1180
140043	1096	1096
141063	1092	1092
142066	1124	1124
143070	1217	1217
144090	1237	1237
145105	1280	1280
146130	1187	1187
147146	1214	1214
148146	1315	1315
149153	1237	1237
150156	1096	1096
151182	1179	1179
152195	1162	1162
153196	1189	1189
154196	1274	1274
155197	1073	1073
156198	1240	1240
157198	1249	1249
158198	1349	1349
159198	1139	1139
160202	888	888
161212	1194	1194
162213	1187	1187
163214	1143	1143
164223	994	994
165227	1139	1139
166242	1044	1044
167248	1172	1172
168254	1138	1138
169265	1113	1113
170266	1238	1238
171266	1050	1050
172288	1105	1105
173290	1133	1133
174293	999	999
175293	1189	1189
176306	1143	1143
177307	1158	1158
178310	1078	1078
179319	1109	1109
180357	1220	1220
181369	1174	1174
182369	1102	1102
183371	1136	1136
184372	1109	1109
185374	1117	1117
186385	1034	1034
187386	1329	1329
188388	1103	1103
189391	1212	1212
190400	1288	1288
191414	1199	1199
192426	1341	1341
193435	1250	1250
194443	1220	1220
195466	1276	1276
196466	1161	1161
197479	1194	1194
198479	1153	1153
199480	1102	1102
200491	1248	1248
201525	1244	1244
202531	1210	1210
203546	1274	1274
204558	1326	1326
205559	1115	1115
206570	1224	1224
207571	1110	1110
208591	1123	1123
209598	1261	1261
210601	1254	1254
211604	1289	1289
212610	1135	1135
213616	1160	1160
214628	1177	1177
215636	1122	1122
216649	1095	1095
217652	1198	1198
218656	1251	1251
219665	1135	1135
220670	1151	1151
221682	1184	1184
222692	1314	1314
223726	1422	1422
224742	1244	1244
225752	1111	1111
226771	1238	1238
227787	1292	1292
228793	1353	1353
229808	1339	1339
230813	1295	1295
231838	1114	1114
232842	1041	1041
233847	1253	1253
234856	1186	1186
235857	1146	1146
236860	1281	1281
237861	1094	1094
238870	1205	1205
239871	1125	1125
240880	1270	1270
241889	1107	1107
242897	1098	1098
243929	1141	1141
244929	1195	1195
245932	1224	1224
246933	1013	1013
247947	979	979
248953	1094	1094
249963	1206	1206
250965	1280	1280
251976	1185	1185
253001	1208	1208
254002	1305	1305
255004	1088	1088
256016	1328	1328
257018	1196	1196
258029	1126	1126
259031	1176	1176
260032	1125	1125
261038	1006	1006
262043	1108	1108
263044	1169	1169
264045	1092	1092
265052	1179	1179
266059	1249	1249
267059	1267	1267
268083	1156	1156
269092	1195	1195
270105	1308	1308
271110	1266	1266
272113	1172	1172
273119	1200	1200
274124	1044	1044
275125	1159	1159
276147	1116	1116
277151	1256	1256
278159	1199	1199
279165	1011	1011
280190	1162	1162
281195	1271	1271
282202	1257	1257
283204	1118	1118
284216	1168	1168
285229	1265	1265
286229	1194	1194
287230	1129	1129
288232	1151	1151
289232	1250	1250
290242	1204	1204
291244	1024	1024
292245	1313	1313
293258	1036	1036
294265	1175	1175
295269	1063	1063
296271	1168	1168
297272	1165	1165
298273	1195	1195
299274	1205	1205
300284	1028	1028
301298	1070	1070
302306	1150	1150
303313	1066	1066
304319	1265	1265
305321	1111	1111
306326	1108	1108
307326	1122	1122
308327	1254	1254
309329	1145	1145
310329	1332	1332
311340	1316	1316
312342	1186	1186
313343	1263	1263
314343	1175	1175
315343	1224	1224
316357	1171	1171
317364	1190	1190
318368	1211	1211
319370	1153	1153
320391	1198	1198
321395	1315	1315
322404	1284	1284
323416	1124	1124
324421	1176	1176
325422	1186	1186
326436	1082	1082
327436	1060	1060
328456	1120	1120
329456	1200	1200
330470	1296	1296
331470	1198	1198
332475	1162	1162
333490	1147	1147
334511	1194	1194
335539	1117	1117
336550	1019	1019
337551	1128	1128
338552	1097	1097
339561	1002	1002
340565	1124	1124
341589	1025	1025
342602	1090	1090
343604	1171	1171
344606	1161	1161
345630	1200	1200
346655	1171	1171
347663	1293	1293
348664	1183	1183
349670	1194	1194
350693	1216	1216
351703	965	965
352716	1238	1238
353727	1310	1310
354728	1292	1292
355729	1235	1235
356747	1223	1223
