SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1000	344	345
2006	452	452
3007	468	468
4011	448	448
5020	507	507
6021	495	495
7024	498	498
8025	494	494
9028	499	499
10033	507	507
11033	528	528
12041	494	494
13041	479	479
14042	514	514
15055	573	573
16055	525	525
17056	551	551
18060	501	501
19061	508	508
20061	537	537
21063	554	554
22064	526	526
23065	479	479
24076	526	526
25077	549	549
26089	527	527
27094	518	518
28104	513	513
29105	527	527
30108	505	505
31112	501	501
32114	513	513
33119	515	515
34120	537	537
35124	542	542
36127	500	500
37129	514	514
38130	548	548
39131	543	543
40133	532	532
41134	501	501
42139	512	512
43142	519	519
44143	527	527
45147	510	510
46148	505	505
47150	498	498
48151	514	514
49152	580	580
50152	512	512
51153	522	522
52157	523	523
53160	530	530
54160	553	553
55165	545	545
56165	523	523
57166	524	524
58167	520	520
59219	524	524
60228	568	568
61234	513	513
62235	534	534
63242	519	519
64246	511	511
65246	532	532
66250	546	546
67250	517	517
68257	512	512
69265	537	537
70268	496	496
71273	513	513
72273	534	534
73278	528	528
74279	541	541
75282	523	523
76285	507	507
77285	485	485
78288	525	525
79289	491	491
80289	500	500
81289	555	555
82293	520	520
83293	521	521
84296	533	533
85302	507	507
86303	520	520
87316	531	531
88320	504	504
89321	552	552
90326	511	511
91332	519	519
92333	503	503
93334	516	516
94338	542	542
95338	542	542
96346	518	518
97347	528	528
98351	550	550
99352	496	496
100355	549	549
101355	570	570
102362	530	530
103366	500	500
104367	528	528
105375	531	531
106376	505	505
107384	532	532
108392	500	500
109395	556	556
110396	525	525
111404	542	542
112405	504	504
113434	494	494
114440	551	551
115442	562	562
116445	509	509
117445	511	511
118446	501	501
119448	541	541
120457	492	492
121459	514	514
122460	518	518
123461	543	543
124463	519	519
125464	507	507
126464	524	524
127470	510	510
128470	541	541
129474	527	527
130484	512	512
131485	523	523
132487	559	559
133487	534	534
134489	534	534
135489	528	528
136489	517	517
137497	541	541
138500	505	505
139502	552	552
140510	538	538
141512	551	551
142513	518	518
143513	522	522
144516	563	563
145534	534	534
146536	517	517
147546	522	522
148548	498	498
149549	506	506
150554	538	538
151567	479	479
152569	493	493
153572	525	525
154574	547	547
155576	559	559
156580	565	565
157584	520	520
158589	582	582
159598	553	553
160609	517	517
161612	514	514
162616	543	543
163617	508	508
164617	525	525
165625	542	542
166628	520	520
167630	511	511
168640	532	532
169641	500	500
170642	488	488
171642	505	505
172643	529	529
173645	527	527
174657	527	527
175666	531	531
176673	590	590
177676	533	533
178680	530	530
179687	528	528
180688	513	513
181693	509	509
182693	516	516
183700	517	517
184700	512	512
185706	536	536
186708	523	523
187714	486	486
188721	536	536
189722	559	559
190725	520	520
191731	488	488
192735	513	513
193736	531	531
194744	488	488
195749	533	533
196750	517	517
197752	508	508
198754	526	526
199756	564	564
200762	577	577
201762	534	534
202763	531	531
203766	558	558
204767	501	501
205767	530	530
206768	560	560
207778	541	541
208778	532	532
209781	538	538
210782	533	533
211783	538	538
212790	538	538
213792	528	528
214794	520	520
215795	551	551
216801	506	506
217803	566	566
218805	560	560
219806	521	521
220809	512	512
221814	526	526
222818	493	493
223822	525	525
224833	525	525
225836	543	543
226840	526	526
227842	538	538
228845	520	520
229846	520	520
230852	557	557
231857	517	517
232858	533	533
233863	498	498
234864	521	521
235865	518	518
236865	498	498
237866	529	529
238867	511	511
239869	535	535
240881	550	550
241892	498	498
242895	503	503
243906	514	514
244909	515	515
245910	525	525
246912	524	524
247922	541	541
248924	543	543
249937	502	502
250938	536	536
251943	507	507
252953	503	503
253955	516	516
254955	529	529
255958	521	521
256966	490	490
257967	513	513
258975	529	529
259975	516	516
260983	513	513
261986	509	509
262986	567	567
263992	522	522
265006	510	510
266009	494	494
267018	492	492
268021	511	511
269029	520	520
270031	526	526
271035	531	531
272038	516	516
273041	511	511
274042	493	493
275045	501	501
276048	510	510
277049	519	519
278051	526	526
279051	546	546
280053	545	545
281058	521	521
282062	513	513
283063	532	532
284065	544	544
285065	548	548
286072	520	520
287073	530	530
288074	535	535
289074	551	551
290079	498	498
291079	509	509
292086	527	527
293086	543	543
294090	513	513
295095	535	535
296095	535	535
297096	556	556
298096	542	542
299098	544	544
300098	506	506
301098	536	536
302100	522	522
303108	494	494
304112	510	510
305113	556	556
306118	599	599
307119	545	545
308121	560	560
309123	546	546
310125	524	524
311127	503	503
312128	503	503
313132	526	526
314132	526	526
315142	514	514
316144	508	508
317145	521	521
318156	523	523
319157	517	517
320161	537	537
321164	541	541
322166	549	549
323176	522	522
324182	536	536
325184	526	526
326185	513	513
327186	532	532
328189	527	527
329195	541	541
330197	518	518
331198	481	481
332205	531	531
333214	533	533
334215	528	528
335216	517	517
336219	530	530
337223	536	536
338225	542	542
339229	513	513
340238	469	469
341241	492	492
342259	512	512
343259	529	529
344268	503	503
345273	533	533
346274	547	547
347277	521	521
348279	509	509
349281	528	528
350290	519	519
351291	520	520
352291	544	544
353296	558	558
354298	560	560
355306	517	517
356306	542	542
357330	549	549
358333	556	556
359334	539	539
360335	556	556
361340	520	520
362350	537	537
363351	556	556
364355	534	534
365356	533	533
366362	528	528
367363	547	547
368370	508	508
369370	516	516
370374	537	537
371379	530	530
372387	513	513
373412	500	500
374413	548	548
375418	514	514
376423	523	523
377432	513	513
378434	526	526
379438	495	495
380441	524	524
381442	514	514
382442	540	540
383444	538	538
384451	525	525
385461	485	485
386461	493	493
387465	521	521
388467	514	514
389470	558	558
390470	536	536
391471	512	512
392481	490	490
393483	513	513
394490	532	532
395493	517	517
396494	478	478
397494	518	518
398498	500	500
399501	528	528
400501	508	508
401503	527	527
402506	531	531
403508	523	523
404512	521	521
405512	570	570
406515	566	566
407517	552	552
408521	518	518
409523	507	507
410543	521	521
411544	527	527
412548	514	514
413549	537	537
414551	532	532
415559	517	517
416560	524	524
417560	544	544
418563	545	545
419567	525	525
420570	527	527
421571	514	514
422574	508	508
423579	530	530
424579	487	487
425587	542	542
426590	508	508
427591	504	504
428592	491	491
429593	527	527
430607	522	522
431608	531	531
432609	553	553
433611	528	528
434613	519	519
435617	518	518
436622	514	514
437623	486	486
438629	533	533
439629	550	550
440630	542	542
441637	550	550
442648	539	539
443649	534	534
444651	505	505
445657	530	530
446665	542	542
447666	547	547
448674	555	555
449676	562	562
450676	557	557
451680	512	512
452681	511	511
453686	502	502
454693	551	551
455693	506	506
456697	507	507
457700	568	568
458705	521	521
459706	537	537
460706	585	585
461706	521	521
462707	534	534
463716	539	539
464724	518	518
465728	543	543
466729	515	515
467729	517	517
468732	465	465
469737	537	537
470739	501	501
471745	508	508
472755	529	529
473763	519	519
474766	544	544
475766	499	499
476768	545	545
477773	510	510
478774	507	507
479781	518	518
480789	509	509
481790	529	529
482790	505	505
483799	507	507
484803	518	518
485810	525	525
486813	507	507
487822	517	517
488827	512	512
489827	534	534
490829	500	500
491830	500	500
492830	547	547
493839	520	520
494841	539	539
495843	483	483
496846	506	506
497848	535	535
498856	517	517
499857	521	521
500858	551	551
501860	532	532
502868	514	514
503876	527	527
504876	534	534
505876	555	555
506878	518	518
507878	525	525
508879	520	520
509880	545	545
510888	544	544
511889	523	523
512900	538	538
513902	551	551
514902	507	507
515909	546	546
516912	530	530
517913	527	527
518914	520	520
519922	505	505
520929	511	511
521935	493	493
522938	512	512
523942	496	496
524945	500	500
525948	519	519
526951	521	521
527953	514	514
528959	526	526
529960	531	531
530960	538	538
531965	517	517
532968	521	521
533969	533	533
534979	503	503
535982	508	508
536987	563	563
537988	525	525
538990	510	510
539996	522	522
540996	503	503
541997	516	516
542998	560	560
543999	553	553
545000	506	506
546002	550	550
547002	509	509
548009	503	503
549017	527	527
550025	531	531
551026	538	538
552038	533	533
553040	513	513
554041	532	532
555044	546	546
556051	524	524
557053	549	549
558059	503	503
559062	535	535
560064	541	541
561069	496	496
562075	507	507
563076	534	534
564077	550	550
565078	519	519
566082	561	561
567096	515	515
568104	503	503
569108	522	522
570109	512	512
571113	534	534
572115	518	518
573119	463	463
574120	554	554
575122	585	585
576123	545	545
577128	506	506
578130	542	542
579132	534	534
580134	544	544
581134	511	511
582138	519	519
583139	525	525
584140	522	522
585141	526	526
586149	507	507
587159	532	532
588163	530	530
589163	517	517
590165	524	524
591172	526	526
592176	508	508
593176	519	519
594178	530	530
595182	548	548
596185	548	548
597189	497	497
598193	542	542
599194	510	510
600203	516	516
601208	515	515
602217	539	539
603218	533	533
604218	531	531
605226	509	509
606227	532	532
607228	529	529
608234	559	559
609237	574	574
610237	539	539
611238	514	514
612241	510	510
613246	567	567
614248	507	507
615250	558	558
616250	506	506
617252	562	562
618254	512	512
619260	503	503
620266	499	499
621272	543	543
622273	582	582
623277	541	541
624277	568	568
625282	518	518
626292	516	516
627293	514	514
628297	540	540
629301	545	545
630306	502	502
631310	544	544
632312	522	522
633316	501	501
634317	484	484
635324	507	507
636331	523	523
637333	506	506
638335	531	531
639342	517	517
640344	514	514
641347	512	512
642349	549	549
643358	560	560
644365	544	544
645374	523	523
646376	530	530
647380	545	545
648384	528	528
649386	522	522
650388	542	542
651390	578	578
652393	516	516
653395	502	502
654397	514	514
655401	536	536
