SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1546	276	276
3076	1433	1433
4601	2009	2009
6126	2003	2003
7651	1995	1995
9190	2092	2092
10715	2114	2114
12240	2197	2197
13766	2319	2319
14789	2346	2346
16054	2436	2436
17054	2511	2511
18342	2596	2596
19344	2621	2621
20630	2538	2538
21632	2638	2638
22918	2563	2563
23927	2709	2709
25206	2668	2668
26213	2773	2773
27493	2682	2682
28494	2822	2822
29795	2702	2702
30801	2836	2836
32082	2735	2735
33089	2821	2821
34370	2639	2639
35373	2802	2802
36658	2640	2640
37666	2821	2821
38946	2773	2773
39948	2943	2943
41234	2888	2888
42242	2949	2949
43535	3000	3000
44536	3017	3017
45823	3034	3034
46824	3040	3040
48111	3077	3077
49119	3033	3033
50425	2966	2966
51426	2917	2917
52716	2917	2917
53722	2984	2984
55004	2958	2958
56010	3014	3014
57292	2986	2986
58293	3050	3050
59580	3086	3086
60586	3068	3068
61868	3008	3008
62874	2979	2979
64156	2954	2954
65162	2950	2950
66444	2871	2871
67450	2890	2890
68780	2863	2863
69782	2923	2923
71068	2917	2917
72070	2978	2978
73356	2964	2964
74383	3017	3017
75644	3081	3081
76671	3114	3114
77932	3075	3075
78972	2994	2994
80220	2999	2999
81260	2996	2996
82508	2981	2981
83548	3003	3003
84796	2941	2941
85835	2974	2974
87084	2976	2976
88123	3049	3049
89372	3083	3083
90373	3141	3141
91660	3112	3112
92669	3055	3055
93948	2973	2973
94957	3030	3030
96236	3044	3044
97247	3023	3023
98524	3042	3042
99562	3118	3118
100812	3148	3148
101852	3126	3126
103100	3077	3077
104140	3111	3111
105388	3121	3121
106428	3077	3077
107676	2962	2962
108684	2924	2924
109963	2871	2871
110972	2958	2958
112251	3067	3067
113260	3163	3163
114539	3134	3134
115561	3160	3160
116827	3059	3059
117849	2989	2989
118875	2903	2903
119878	2894	2894
120918	2924	2924
121939	2995	2995
122942	2931	2931
123969	2880	2880
124981	2900	2900
125992	2972	2972
127019	3008	3008
128040	2986	2986
129056	2952	2952
130070	2995	2995
131091	2998	2998
132133	2987	2987
133156	2989	2989
134159	3063	3063
135183	3096	3096
136207	3097	3097
137208	3036	3036
138247	2944	2944
139248	2923	2923
140256	2955	2955
141298	2921	2921
142308	2991	2991
143319	2999	2999
144361	3017	3017
145363	2998	2998
146370	3021	3021
147425	3032	3032
148450	3081	3081
149713	3014	3014
150738	3057	3057
152014	3149	3149
153039	3336	3336
154328	3249	3249
155339	3140	3140
156341	3018	3018
157388	2921	2921
158389	2938	2938
159392	2924	2924
160438	3098	3098
161440	3165	3165
162442	3118	3118
163489	3016	3016
164491	2991	2991
165506	3017	3017
166540	3021	3021
167554	3059	3059
168556	2991	2991
169590	3022	3022
170605	3015	3015
171607	3028	3028
172641	2936	2936
173655	2905	2905
174658	2919	2919
175691	3063	3063
176706	3168	3168
177708	3209	3209
178742	3216	3216
179743	3184	3184
180759	3071	3071
181793	3085	3085
182806	3020	3020
183809	3017	3017
184843	3012	3012
185844	3093	3093
186859	3060	3060
187894	3094	3094
188894	3039	3039
189911	3090	3090
190944	3130	3130
191945	3075	3075
192974	3060	3060
193995	3009	3009
194996	3021	3021
196024	2959	2959
197046	2900	2900
198046	2957	2957
199088	2998	2998
200096	3057	3057
201097	3027	3027
202139	3053	3053
203147	3114	3114
204147	3176	3176
205242	3130	3130
206243	3139	3139
207243	3113	3113
208305	3115	3115
209369	3019	3019
210393	3020	3020
211536	3034	3034
212536	3084	3084
213824	3097	3097
214837	3135	3135
216112	3232	3232
217125	3340	3340
218400	3270	3270
219413	3266	3266
220688	3218	3218
221688	3264	3264
222976	3180	3180
223976	3187	3187
225264	3140	3140
226266	3202	3202
227552	3119	3119
228552	3051	3051
229839	3043	3043
230842	2978	2978
231864	2936	2936
232890	2966	2966
233890	3027	3027
234928	3052	3052
235941	3010	3010
236941	3010	3010
237979	3055	3055
238991	3099	3099
239991	3082	3082
241279	3078	3078
242280	3108	3108
243567	3135	3135
244570	3158	3158
245855	3131	3131
246856	3136	3136
248143	3132	3132
249144	3125	3125
250431	3127	3127
251432	3285	3285
252719	3281	3281
253720	3327	3327
255007	3090	3090
256008	2970	2970
257295	2936	2936
258296	2936	2936
259306	2941	2941
260345	2996	2996
261355	3087	3087
262357	3133	3133
263396	3153	3153
264406	3115	3115
265408	3063	3063
266447	3116	3116
267456	3221	3221
