SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1057	612	612
2147	1616	1616
3237	2707	2707
4328	3797	3797
5418	4887	4887
6508	5977	5977
7598	7068	7068
8689	8158	8158
9779	9248	9248
10869	10338	10338
11959	11429	11429
13050	12519	12519
14140	13609	13609
15230	14700	14700
16321	15790	15790
17411	16880	16880
18501	17451	17461
19591	17444	17444
20682	17444	17444
21772	17444	17444
22862	17444	17444
23952	17444	17444
25043	17444	17444
26133	17444	17444
27223	17444	17444
28314	17444	17444
29404	17444	17444
30494	17444	17444
31584	17444	17444
32675	17444	17444
33765	17444	17444
34855	17444	17444
35945	17444	17444
37036	17444	17444
38126	17444	17444
39216	17444	17444
40307	17444	17444
41397	17444	17444
42487	17444	17444
43577	17444	17444
44668	17444	17444
45758	17444	17444
46848	17444	17444
47938	17444	17444
49029	17444	17444
50119	17444	17444
51209	17444	17444
52300	17444	17444
53390	17444	17444
54480	17444	17444
55570	17444	17444
56661	17444	17444
57751	17444	17444
58841	17444	17444
59931	17444	17444
61022	17444	17444
62112	17444	17444
63202	17444	17444
64293	17444	17444
65383	17444	17444
66473	17444	17444
67563	17444	17444
68654	17444	17444
69744	17444	17444
70834	17444	17444
71924	17444	17444
73015	17444	17444
74105	17444	17444
75195	17444	17444
76286	17444	17444
77376	17444	17444
78466	17444	17444
79556	17444	17444
80647	17444	17444
81737	17444	17444
82827	17444	17444
83917	17444	17444
85008	17444	17444
86098	17444	17444
87188	17444	17444
88279	17444	17444
89369	17444	17444
90459	17444	17444
91549	17444	17444
92640	17444	17444
93730	17444	17444
94820	17444	17444
95910	17444	17444
97001	17444	17444
98091	17444	17444
99181	17444	17444
100272	17444	17444
101362	17444	17444
102452	17444	17444
103542	17444	17444
104633	17444	17444
105723	17444	17444
106813	17444	17444
107903	17444	17444
108994	17444	17444
110084	17444	17444
111174	17444	17444
112265	17444	17444
113355	17444	17444
114445	17444	17444
115535	17444	17444
116626	17444	17444
117716	17444	17444
118806	17444	17444
119896	17444	17444
120987	17444	17444
122077	17444	17444
123167	17444	17444
124257	17444	17444
125348	17444	17444
126438	17444	17444
127528	17444	17444
128619	17444	17444
129709	17444	17444
130799	17444	17444
131889	17444	17444
132980	17444	17444
134070	17444	17444
135160	17444	17444
