SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1697	448	455
3273	1932	1932
4320	1967	1967
5571	1709	1709
6639	1661	1661
7952	1600	1600
8957	1600	1600
10353	1600	1600
11358	1600	1600
12754	1600	1600
13759	1600	1600
15155	1600	1600
16160	1600	1600
17556	1600	1600
18561	1600	1600
19957	1600	1600
20962	1600	1600
22358	1600	1600
23363	1600	1600
24759	1600	1600
25764	1600	1600
27160	1600	1600
28165	1600	1600
29561	1600	1600
30566	1600	1600
31962	1600	1600
32967	1600	1600
34363	1600	1600
35368	1600	1600
36764	1600	1600
37769	1600	1600
39165	1600	1600
40170	1600	1600
41566	1600	1600
42571	1600	1600
43966	1600	1600
44972	1600	1600
46367	1600	1600
47373	1600	1600
48768	1600	1600
49774	1600	1600
51169	1600	1600
52175	1600	1600
53570	1600	1600
54576	1600	1600
55971	1600	1600
56977	1600	1600
58372	1600	1600
59378	1600	1600
60773	1600	1600
61779	1600	1600
63174	1600	1600
64180	1600	1600
65575	1600	1600
66581	1600	1600
67976	1600	1600
68982	1600	1600
70377	1600	1600
71383	1600	1600
72778	1600	1600
73784	1600	1600
75179	1600	1600
76185	1600	1600
77580	1600	1600
78586	1600	1600
79981	1600	1600
80987	1600	1600
82382	1600	1600
83388	1600	1600
84783	1600	1600
85789	1600	1600
87184	1600	1600
88190	1600	1600
89585	1600	1600
90591	1600	1600
91986	1600	1600
92992	1600	1600
94387	1600	1600
95393	1600	1600
96788	1600	1600
97794	1600	1600
99189	1600	1600
100195	1600	1600
101590	1600	1600
102596	1600	1600
103991	1600	1600
104997	1600	1600
106392	1600	1600
107398	1600	1600
108793	1600	1600
109799	1600	1600
111194	1600	1600
112200	1600	1600
113595	1600	1600
114601	1600	1600
115996	1600	1600
117002	1600	1600
118397	1600	1600
119403	1600	1600
120798	1600	1600
121804	1600	1600
123199	1600	1600
124205	1600	1600
125600	1600	1600
126606	1600	1600
128001	1600	1600
129007	1600	1600
130402	1600	1600
131408	1600	1600
132803	1600	1600
133809	1600	1600
135204	1600	1600
136209	1600	1600
137605	1600	1600
138610	1600	1600
140006	1600	1600
141011	1600	1600
142407	1600	1600
143412	1600	1600
144808	1600	1600
145813	1600	1600
147209	1600	1600
148214	1600	1600
149610	1600	1600
150615	1600	1600
152011	1600	1600
153016	1600	1600
154412	1600	1600
155417	1600	1600
156813	1600	1600
157818	1600	1600
159214	1600	1600
160219	1600	1600
161615	1600	1600
162620	1600	1600
164016	1600	1600
165021	1600	1600
166417	1600	1600
167422	1600	1600
168818	1600	1600
169823	1600	1600
171219	1600	1600
172224	1600	1600
173620	1600	1600
174625	1600	1600
176021	1600	1600
177026	1600	1600
178422	1600	1600
179427	1600	1600
