SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
938520	7	7
939599	8	8
940831	7	7
941895	31	31
942903	125	125
943904	69	69
944906	121	121
945913	100	100
946920	68	68
947933	191	191
948939	185	185
950019	97	97
951030	38	38
952045	171	171
953051	182	182
954103	292	292
955108	70	70
956117	160	160
957124	46	46
958187	229	229
959238	128	128
960253	135	135
961261	111	111
962277	125	125
963281	180	180
964298	107	107
965303	131	131
966316	137	137
967329	166	166
968337	229	229
969341	155	155
970394	51	51
971408	141	141
972409	102	102
973419	133	133
974427	144	144
975429	236	236
976433	60	60
977435	159	159
978453	94	94
979466	173	173
980498	114	114
981521	162	162
982530	159	159
983554	142	142
984625	248	248
985630	146	146
986632	37	37
987641	220	220
988681	176	176
989697	78	78
990785	201	201
991810	61	61
992899	251	251
993958	212	212
994980	85	85
995988	169	169
997001	91	91
998004	132	132
999007	156	156
1000010	154	154
1001011	227	227
1002023	118	118
1003023	204	204
1004027	84	84
1005037	119	119
1006041	188	188
1007049	139	139
1008087	127	127
1009090	62	62
1010131	159	159
1011133	218	218
1012139	162	162
1013161	112	112
1014179	74	74
1015182	238	238
1016192	101	101
1017222	189	189
1018287	112	112
1019289	220	220
1020377	105	105
1021388	173	173
1022391	97	97
1023446	132	132
1024480	80	80
1025482	183	183
1026517	117	117
1027552	167	167
1028569	127	127
1029583	140	140
1030589	84	84
1031594	246	246
1032644	139	139
1033674	157	157
1034732	202	202
1035753	200	200
1036764	55	55
1037769	155	155
1038770	173	173
1039780	144	144
1040788	166	166
1041796	127	127
1042809	142	142
1043822	230	230
1044825	133	133
1045845	137	137
1046876	147	147
1047891	146	146
1048908	78	78
1049953	192	192
1050978	209	209
1051991	140	140
1053023	111	111
1054061	94	94
1055070	138	138
1056113	169	169
1057145	159	159
1058158	138	138
1059177	105	105
1060193	131	131
1061211	195	195
1062216	193	193
1063220	236	236
1064240	118	118
1065257	106	106
1066259	167	167
1067296	191	191
1068387	180	180
1069433	145	145
1070435	152	152
1071439	105	105
1072467	197	197
1073473	177	177
1074529	147	147
