SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
938520	7	7
939599	8	8
940831	7	7
941895	60	60
942904	192	192
943925	119	119
944937	315	315
945942	316	316
946956	129	129
947960	351	351
948974	538	538
949993	447	447
951010	250	250
952015	318	318
953025	276	276
954025	450	450
955042	283	283
956070	420	420
957110	245	245
958118	465	465
959146	371	371
960220	542	542
961244	380	380
962248	319	319
963281	446	446
964298	246	246
965325	274	274
966331	376	376
967362	348	348
968364	471	471
969403	575	575
970404	282	282
971420	272	272
972425	396	396
973436	390	390
974456	264	264
975497	538	538
976506	351	351
977533	399	399
978557	459	459
979613	367	367
980695	347	347
981698	346	346
982717	416	416
983746	414	414
984755	485	485
985758	426	426
986801	104	104
987851	429	429
988931	418	418
989942	379	379
990946	457	457
991954	276	276
992956	500	500
993973	589	589
994989	343	343
995994	360	360
997001	268	268
998020	281	281
999025	443	443
1000064	371	371
1001070	457	457
1002107	309	309
1003109	420	420
1004132	366	366
1005152	410	410
1006182	318	318
1007204	394	394
1008206	460	460
1009209	212	212
1010211	424	424
1011221	474	474
1012246	508	508
1013249	391	391
1014267	289	289
1015319	463	463
1016341	412	412
1017343	401	401
1018369	399	399
1019392	518	518
1020396	348	348
1021404	457	457
1022424	430	430
1023446	424	424
1024475	301	301
1025484	391	391
1026517	294	294
1027562	378	378
1028617	340	340
1029625	412	412
1030631	274	274
1031633	490	490
1032637	439	439
1033647	519	519
1034660	655	655
1035692	519	519
1036736	345	345
1037759	450	450
1038765	521	521
1039796	372	372
1040815	411	411
1041850	539	539
1042873	618	618
1043882	706	706
1044884	681	681
1045902	425	425
1046917	512	512
1047934	496	496
1048934	470	470
1049935	750	750
1050946	872	872
1051965	1126	1126
1052984	740	740
1054005	396	396
1055014	409	409
1056038	644	644
1057043	713	713
1058047	731	731
1059050	649	649
1060053	796	796
1061086	913	913
1062095	1137	1137
1063098	909	909
1064110	987	987
1065117	1107	1107
1066144	947	947
1067153	1000	1000
1068157	1150	1150
1069168	1355	1355
1070177	1305	1305
1071192	1428	1428
1072221	1239	1239
1073222	1442	1442
1074229	1333	1333
1075261	1780	1780
1076264	2813	2813
1077367	3475	3475
1078432	3321	3321
